Code,"Scientific Name","Common Name","Last Update","# of Sequences","NCBI TaxonId",D.
STREC,"Streptococcus equi  subsp. zooepidemicus (strain ATCC 35246 / C74-63)",,2014-Nov-05,2061,1051072,B
ARCVS,"Archaeoglobus veneficus  (strain DSM 11195 / SNP6)",,2012-Apr-01,2064,693661,A
STRZP,"Streptococcus pneumoniae  (strain P1031)",,2009-Jun-25,2066,488223,B
POLAQ,"Polynucleobacter asymbioticus  (strain DSM 18221 / CIP 109841 / QLW-P1DMWA-1)",,2008-Mar-24,2074,312153,B
NITSE,"Nitratifractor salsuginis  (strain DSM 16511 / JCM 12458 / E9I37-1)",,2014-Nov-05,2075,749222,B
PYRHO,"Pyrococcus horikoshii  (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)",,2007-Sep-26,2077,70601,A
PELLD,"Pelodictyon luteolum  (strain DSM 273 / 2530)",,2014-Mar-24,2077,319225,B
ACTSZ,"Actinobacillus succinogenes  (strain ATCC 55618 / DSM 22257 / 130Z)",,2008-Feb-26,2077,339671,B
SULDN,"Sulfurimonas denitrificans  (strain ATCC 33889 / DSM 1251)",,2008-Mar-24,2082,326298,B
STRDG,"Streptococcus dysgalactiae  subsp. equisimilis (strain GGS_124)",,2009-Nov-22,2086,486410,B
KOSOT,"Kosmotoga olearia  (strain ATCC BAA-1733 / DSM 21960 / TBF 19.5.1)",,2014-Oct-02,2086,521045,B
CALNY,"Calditerrivibrio nitroreducens  (strain DSM 19672 / NBRC 101217 / Yu37-1)",,2011-May-30,2089,768670,B
CORP1,"Corynebacterium pseudotuberculosis  (strain 1002)",,2014-Oct-02,2090,679896,B
CORP9,"Corynebacterium pseudotuberculosis  (strain I19)",,2012-Nov-13,2094,889513,B
NEIM8,"Neisseria meningitidis  serogroup C (strain 8013)",,2011-Mar-21,2098,604162,B
STRP4,"Streptococcus pneumoniae  serotype 19F (strain G54)",,2009-Jan-19,2099,512566,B
STRA5,"Streptococcus agalactiae  serotype V (strain ATCC BAA-611 / 2603 V/R)",,2014-Mar-24,2105,208435,B
STRPN,"Streptococcus pneumoniae  serotype 4 (strain ATCC BAA-334 / TIGR4)",,2010-Mar-21,2107,170187,B
ACTP7,"Actinobacillus pleuropneumoniae  serotype 7 (strain AP76)",,2008-Sep-09,2109,537457,B
COXBN,"Coxiella burnetii  (strain Dugway 5J108-111)",,2008-Mar-24,2110,434922,B
CORPF,"Corynebacterium pseudotuberculosis  (strain FRC41)",,2010-Nov-29,2110,765874,B
RUMC1,"Ruminococcus champanellensis  (strain DSM 18848 / JCM 17042 / KCTC 15320 / 18P13)",,2015-Nov-05,2114,213810,B
STRZJ,"Streptococcus pneumoniae  (strain JJA)",,2009-Jul-26,2116,488222,B
HELCP,"Helicobacter cinaedi  (strain PAGU611)",,2012-Nov-29,2116,1172562,B
BIFDB,"Bifidobacterium dentium  (strain ATCC 27534 / DSM 20436 / JCM 1195 / Bd1)",,2010-May-24,2119,401473,B
STRPJ,"Streptococcus pneumoniae  (strain ATCC 700669 / Spain 23F-1)",,2009-Dec-15,2125,561276,B
PSYA2,"Psychrobacter arcticus  (strain DSM 17307 / VKM B-2377 / 273-4)",,2008-Jul-13,2125,259536,B
AGGAD,"Aggregatibacter actinomycetemcomitans  serotype C (strain D11S-1)",,2010-Feb-24,2126,668336,B
CALOW,"Caldicellulosiruptor owensensis  (strain ATCC 700167 / DSM 13100 / OL)",,2011-Oct-02,2132,632518,B
THES4,"Thermococcus sp.  (strain CGMCC 1.5172 / 4557)",,2012-Aug-19,2133,1042877,A
LACKZ,"Lactobacillus kefiranofaciens  (strain ZW3)",,2014-Nov-05,2133,1033837,B
ORNRL,"Ornithobacterium rhinotracheale  (strain ATCC 51463 / DSM 15997 / CCUG 23171 / CIP 104009 / LMG 9086)",,2015-Nov-26,2134,867902,B
STRET,"Streptococcus pneumoniae  (strain ST556)",,2013-Jan-10,2135,1130804,B
DESAP,"Desulforudis audaxviator  (strain MP104C)",,2008-Jul-13,2135,477974,B
AKKM8,"Akkermansia muciniphila  (strain ATCC BAA-835 / Muc)",,2008-Sep-09,2137,349741,B
CORRG,"Corynebacterium resistens  (strain DSM 45100 / JCM 12819 / GTC 2026 / SICGH 158)",,2013-Jan-10,2137,662755,B
PROMT,"Prochlorococcus marinus  (strain NATL2A)",,2007-Sep-26,2141,59920,B
PYRCJ,"Pyrobaculum calidifontis  (strain JCM 11548 / VA1)",,2007-Jul-08,2148,410359,A
STRPI,"Streptococcus pneumoniae  (strain Hungary19A-6)",,2008-Jul-13,2151,487214,B
THEOJ,"Thermosediminibacter oceani  (strain ATCC BAA-1034 / DSM 16646 / JW/IW-1228P)",,2013-Jan-10,2151,555079,B
SULAO,"Sulfurimonas autotrophica  (strain ATCC BAA-671 / DSM 16294 / JCM 11897 / OK10)",,2011-Sep-23,2155,563040,B
XYLF2,"Xylella fastidiosa  (strain M23)",,2008-Jul-13,2157,405441,B
THEGJ,"Thermococcus gammatolerans  (strain DSM 15229 / JCM 11827 / EJ3)",,2009-Nov-22,2157,593117,A
ACIC1,"Acidothermus cellulolyticus  (strain ATCC 43068 / 11B)",,2007-Mar-07,2157,351607,B
THEM3,"Thermoanaerobacter mathranii  subsp. mathranii (strain DSM 11426 / CIP 108742 / A3)",,2011-May-30,2158,583358,B
CAPOD,"Capnocytophaga ochracea  (strain ATCC 27872 / DSM 7271 / JCM 12966 / NCTC 12371 / VPI 2845)",,2009-Dec-16,2170,521097,B
PROM1,"Prochlorococcus marinus  (strain NATL1A)",,2007-May-03,2173,167555,B
STRP7,"Streptococcus pneumoniae  (strain 70585)",,2010-May-24,2174,488221,B
STRS2,"Streptococcus suis  (strain 98HAH33)",,2007-Jul-08,2178,391296,B
STRSY,"Streptococcus suis  (strain 05ZYH33)",,2007-Jul-08,2178,391295,B
CORDV,"Corynebacterium diphtheriae  (strain VA01)",,2014-Nov-05,2178,698971,B
XYLFG,"Xylella fastidiosa  (strain GB514)",,2012-Jan-25,2181,788929,B
STRMD,"Streptococcus macedonicus  (strain ACA-DC 198)",,2015-Mar-17,2183,1116231,B
THEU7,"Thermoproteus uzoniensis  (strain 768-20)",,2012-Aug-19,2184,999630,A
THEID,"Thermodesulfatator indicus  (strain DSM 15286 / JCM 11887 / CIR29812)",,2013-May-28,2184,667014,B
CALOO,"Caldicellulosiruptor obsidiansis  (strain ATCC BAA-2073 / strain OB47)",,2012-Apr-01,2184,608506,B
HYDCU,"Hydrogenovibrio crunogenus  (strain XCL-2)",,2014-Mar-24,2187,317025,B
STRPS,"Streptococcus pneumoniae  (strain CGSP14)",,2008-Jul-13,2189,516950,B
LACRS,"Lactobacillus reuteri  (strain ATCC 55730 / SD2112)",,2012-Nov-13,2190,491077,B
THEP3,"Thermoanaerobacter pseudethanolicus  (strain ATCC 33223 / 39E)",,2008-Jul-13,2192,340099,B
MARHT,"Marinithermus hydrothermalis  (strain DSM 14884 / JCM 11576 / T1)",,2013-Dec-17,2194,869210,B
SPITD,"Spirochaeta thermophila  (strain ATCC 49972 / DSM 6192 / RI 19.B1)",,2011-Apr-10,2198,665571,B
LACBA,"Lactobacillus brevis  (strain ATCC 367 / JCM 1170)",,2007-Mar-07,2199,387344,B
THET2,"Thermus thermophilus  (strain HB27 / ATCC BAA-163 / DSM 7039)",,2009-Sep-16,2201,262724,B
MICLC,"Micrococcus luteus  (strain ATCC 4698 / DSM 20030 / JCM 1464 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230)",,2015-Mar-27,2206,465515,B
METRM,"Methanobrevibacter ruminantium  (strain ATCC 35063 / DSM 1093 / JCM 13430 / OCM 146 / M1)",,2010-Jul-19,2207,634498,A
ROTDC,"Rothia dentocariosa  (strain ATCC 17931 / CDC X599 / XDIA)",,2011-Oct-02,2208,762948,B
CORDJ,"Corynebacterium diphtheriae  (strain HC02)",,2014-Nov-05,2216,698968,B
LEPBD,"Leptotrichia buccalis  (strain ATCC 14201 / DSM 1135 / JCM 12969 / NCTC 10249 / C-1013-b)",,2010-May-24,2217,523794,B
CORDL,"Corynebacterium diphtheriae  (strain HC04)",,2014-Mar-02,2217,698970,B
LACLA,"Lactococcus lactis  subsp. lactis (strain IL1403)",,2007-Sep-26,2221,272623,B
SULAC,"Sulfolobus acidocaldarius  (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)",,2014-Mar-24,2223,330779,A
AGGAN,"Aggregatibacter aphrophilus  (strain NJ8700)",,2010-Jun-14,2224,634176,B
THET8,"Thermus thermophilus  (strain HB8 / ATCC 27634 / DSM 579)",,2007-Dec-10,2227,300852,B
CORD2,"Corynebacterium diphtheriae  (strain 241)",,2013-Dec-19,2227,698966,B
HALSG,"Haloredivivus sp.  (strain G17)",,2017-Aug-09,2228,1072681,A
CORDH,"Corynebacterium diphtheriae  (strain HC01)",,2015-Mar-17,2229,698967,B
STRES,"Streptococcus pseudopneumoniae  (strain IS7493)",,2013-Jan-10,2235,1054460,B
PASMH,"Pasteurella multocida  (strain HN06)",,2015-Mar-28,2238,1132496,B
CORDK,"Corynebacterium diphtheriae  (strain HC03)",,2015-Mar-27,2238,698969,B
THEIA,"Thermoanaerobacter italicus  (strain DSM 9252 / Ab9)",,2012-Jan-19,2239,580331,B
METBU,"Methanococcoides burtonii  (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)",,2006-Oct-03,2242,259564,A
SELS3,"Selenomonas sputigena  (strain ATCC 35185 / DSM 20758 / VPI D19B-28)",,2015-Nov-17,2243,546271,B
SULD5,"Sulfurospirillum deleyianum  (strain ATCC 51133 / DSM 6946 / 5175)",,2010-Jul-11,2243,525898,B
CORDD,"Corynebacterium diphtheriae  (strain CDCE 8392)",,2014-Oct-02,2243,698965,B
CYCSP,"Cycloclasticus sp.  (strain P1)",,2014-Nov-05,2247,385025,B
PREI7,"Prevotella intermedia  (strain 17)",,2015-Jun-17,2248,246198,B
METEZ,"Methanohalobium evestigatum  (strain ATCC BAA-1072 / DSM 3721 / NBRC 107634 / OCM 161 / Z-7303)",,2010-Dec-22,2248,644295,A
SPITZ,"Spirochaeta thermophila  (strain ATCC 700085 / DSM 6578 / Z-1203)",,2013-Dec-17,2249,869211,B
STRG3,"Streptococcus gallolyticus  (strain UCN34)",,2010-Jul-11,2249,637909,B
HALHG,"Halanaerobium hydrogeniformans",,2015-Mar-17,2249,656519,B
CHLTE,"Chlorobaculum tepidum  (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS)",,2009-Sep-16,2251,194439,B
ARCB4,"Arcobacter butzleri  (strain RM4018)",,2008-Jan-21,2254,367737,B
METS5,"Metallosphaera sedula  (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)",,2008-Mar-24,2256,399549,A
STRP0,"Streptococcus pneumoniae  serotype A19 (strain TCH8431)",,2011-May-30,2257,525381,B
FLESM,"Flexistipes sinusarabici  (strain ATCC 49648 / DSM 4947 / MAS 10)",,2014-Nov-05,2257,717231,B
CORDW,"Corynebacterium diphtheriae  (strain PW8)",,2015-Feb-24,2263,698964,B
THEBM,"Thermococcus barophilus  (strain DSM 11836 / MP)",,2012-Aug-19,2265,391623,A
AVIPA,"Avibacterium paragallinarum",,2020-Jan-26,2266,728,B
STRSV,"Streptococcus sanguinis  (strain SK36)",,2007-May-03,2267,388919,B
ACEAZ,"Acetohalobium arabaticum  (strain ATCC 49924 / DSM 5501 / Z-7288)",,2014-Mar-02,2276,574087,B
STAHY,"Staphylococcus hyicus",,2018-Feb-15,2278,1284,B
STRG1,"Streptococcus gallolyticus  (strain ATCC 43143 / F-1867)",,2015-Mar-27,2283,981539,B
PREMB,"Prevotella melaninogenica  (strain ATCC 25845 / DSM 7089 / JCM 6325 / VPI 2381 / B282)",,2014-Oct-02,2288,553174,B
STRG2,"Streptococcus gallolyticus  (strain ATCC BAA-2069)",,2012-Dec-17,2292,990317,B
CUTAK,"Cutibacterium acnes  (strain DSM 16379 / KPA171202)",,2010-Mar-21,2294,267747,B
PYRAR,"Pyrobaculum arsenaticum  (strain DSM 13514 / JCM 11321 / PZ6)",,2007-Jul-08,2295,340102,A
SYNS9,"Synechococcus sp.  (strain CC9902)",,2014-Mar-24,2301,316279,B
BRAP9,"Brachyspira pilosicoli  (strain ATCC BAA-1826 / 95/1000)",,2014-Mar-02,2301,759914,B
THEKO,"Thermococcus kodakarensis  (strain ATCC BAA-918 / JCM 12380 / KOD1)",,2014-Jun-18,2302,69014,A
CLONN,"Clostridium novyi  (strain NT)",,2007-Mar-07,2305,386415,B
THESX,"Thermoanaerobacter sp.  (strain X513)",,2012-Apr-01,2307,573062,B
SYNLT,"Syntrophothermus lipocalidus  (strain DSM 12680 / TGB-C1)",,2010-Oct-12,2311,643648,B
CORDI,"Corynebacterium diphtheriae  (strain ATCC 700971 / NCTC 13129 / Biotype gravis)",,2010-Mar-21,2311,257309,B
THEXL,"Thermoanaerobacterium xylanolyticum  (strain ATCC 49914 / DSM 7097 / LX-11)",,2014-Nov-05,2318,858215,B
VULM7,"Vulcanisaeta moutnovskia  (strain 768-28)",,2012-Aug-19,2318,985053,A
PROA2,"Prosthecochloris aestuarii  (strain DSM 271 / SK 413)",,2008-Oct-26,2319,290512,B
THEPX,"Thermoanaerobacter sp.  (strain X514)",,2008-Jul-13,2322,399726,B
THEM7,"Thermaerobacter marianensis  (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)",,2012-Jan-19,2324,644966,B
HALOH,"Halothermothrix orenii  (strain H 168 / OCM 544 / DSM 9562)",,2009-May-15,2324,373903,B
THETG,"Thermus thermophilus  (strain SG0.5JP17-16)",,2012-Dec-17,2325,762633,B
CORD7,"Corynebacterium diphtheriae  (strain ATCC 27012 / C7 (beta))",,2012-Nov-29,2325,698963,B
ACIHW,"Acidianus hospitalis  (strain W1)",,2012-Aug-19,2329,933801,A
HYDMR,"Hydrogenovibrio marinus",,2019-Aug-11,2330,28885,B
METML,"Methylotenera mobilis  (strain JLW8 / ATCC BAA-1282 / DSM 17540)",,2010-Sep-29,2334,583345,B
CORUB,"Corynebacterium ulcerans  (strain BR-AD22)",,2014-Mar-04,2337,945712,B
PSYWF,"Psychrobacter sp.  (strain PRwf-1)",,2008-Feb-26,2338,349106,B
STRZ6,"Streptococcus pneumoniae  (strain 670-6B)",,2012-Nov-08,2345,189423,B
DESDA,"Desulfovibrio desulfuricans  (strain ATCC 27774 / DSM 6949 / MB)",,2013-Dec-17,2345,525146,B
CORD3,"Corynebacterium diphtheriae  (strain 31A)",,2013-Oct-03,2345,698962,B
STAPE,"Staphylococcus pseudintermedius  (strain ED99)",,2015-Jun-17,2346,984892,B
CUTAS,"Cutibacterium acnes  (strain SK137)",,2012-Nov-13,2347,553199,B
HALNC,"Halothiobacillus neapolitanus  (strain ATCC 23641 / c2)",,2011-Mar-21,2353,555778,B
KOCRD,"Kocuria rhizophila  (strain ATCC 9341 / DSM 348 / NBRC 103217 / DC2201)",,2008-Jul-13,2353,378753,B
DEFDS,"Deferribacter desulfuricans  (strain DSM 14783 / JCM 11476 / NBRC 101012 / SSM1)",,2010-Sep-29,2353,639282,B
METH6,"Methanosaeta harundinacea  (strain 6Ac)",,2012-Aug-19,2358,1110509,A
LACBN,"Lactobacillus buchneri  (strain NRRL B-30929)",,2015-Apr-07,2360,511437,B
LACLV,"Lactococcus lactis  subsp. lactis (strain CV56)",,2011-Sep-23,2362,929102,B
ENTTH,"Enterococcus thailandicus",,2019-Dec-12,2368,417368,B
MANSM,"Mannheimia succiniciproducens  (strain MBEL55E)",,2014-Mar-24,2369,221988,B
CORLD,"Corynebacterium lipophiloflavum  (strain ATCC 700352 / DSM 44291 / CCUG 37336 / JCM 10383 / DMMZ 1944)",,2019-Jan-06,2371,525263,B
OCEP5,"Oceanithermus profundus  (strain DSM 14977 / NBRC 100410 / VKM B-2274 / 506)",,2015-Mar-08,2372,670487,B
PROFC,"Propionibacterium freudenreichii  subsp. shermanii (strain ATCC 9614 / DSM 4902 / CIP 103027 / NCIMB 8099 / CIRM-BIA1)",,2014-Nov-05,2379,754252,B
PREDF,"Prevotella denticola  (strain F0289)",,2015-Nov-26,2380,767031,B
ACIIR,"Acidaminococcus intestini  (strain RyC-MR95)",,2015-Jun-17,2383,568816,B
AMPXN,"Amphibacillus xylanus  (strain ATCC 51415 / DSM 6626 / JCM 7361 / LMG 17667 / NBRC 15112 / Ep01)",,2014-Nov-05,2383,698758,B
METPW,"Methanobacterium paludis  (strain DSM 25820 / JCM 18151 / SWAN1)",,2012-Aug-19,2394,868131,A
CAPCC,"Capnocytophaga canimorsus  (strain 5)",,2014-Nov-05,2394,860228,B
ARCFU,"Archaeoglobus fulgidus  (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)",,2009-Sep-16,2400,224325,A
HALHL,"Halorhodospira halophila  (strain DSM 244 / SL1)",,2007-Mar-29,2405,349124,B
ENTI1,"Enterococcus italicus  (strain DSM 15952 / LMG 22039 / TP 1.5)",,2020-Jan-23,2405,888064,B
LEPFC,"Leptospirillum ferrooxidans  (strain C2-3)",,2014-Nov-05,2413,1162668,B
CLOTE,"Clostridium tetani  (strain Massachusetts / E88)",,2010-Mar-21,2414,212717,B
HALSA,"Halobacterium salinarum  (strain ATCC 700922 / JCM 11081 / NRC-1)",,2014-Mar-24,2418,64091,A
CHLL2,"Chlorobium limicola  (strain DSM 245 / NBRC 103803 / 6330)",,2008-Sep-09,2419,290315,B
FLAPJ,"Flavobacterium psychrophilum  (strain ATCC 49511 / DSM 21280 / CIP 103535 / JIP02/86)",,2007-Sep-16,2428,402612,B
MICAA,"Micavibrio aeruginosavorus  (strain ARL-13)",,2014-Oct-02,2431,856793,B
CHLPB,"Chlorobium phaeobacteroides  (strain BS1)",,2008-Sep-09,2434,331678,B
GRABC,"Granulibacter bethesdensis  (strain ATCC BAA-1260 / CGDNIH1)",,2006-Nov-21,2435,391165,B
LACLS,"Lactococcus lactis  subsp. cremoris (strain SK11)",,2007-Mar-07,2436,272622,B
LACLN,"Lactococcus lactis  subsp. cremoris (strain NZ9000)",,2013-Dec-17,2444,746361,B
THEEB,"Thermosynechococcus elongatus  (strain BP-1)",,2009-May-15,2447,197221,B
METCZ,"Methanocella conradii  (strain DSM 24694 / JCM 17849 / CGMCC 1.5162 / HZ254)",,2012-Aug-19,2448,1041930,A
STAPH,"Staphylococcus pseudintermedius  (strain HKU10-03)",,2014-Jan-25,2449,937773,B
MOOTA,"Moorella thermoacetica  (strain ATCC 39073 / JCM 9320)",,2006-May-31,2450,264732,B
LEPFM,"Leptospirillum ferriphilum  (strain ML-04)",,2015-Mar-08,2450,1048260,B
METB6,"Methanoregula boonei  (strain DSM 21154 / JCM 14090 / 6A8)",,2007-Oct-25,2450,456442,A
HALHC,"Halobacteroides halobius  (strain ATCC 35273 / DSM 5150 / MD-1)",,2014-Mar-02,2452,748449,B
LACLM,"Lactococcus lactis  subsp. cremoris (strain MG1363)",,2007-May-03,2453,416870,B
DESRD,"Desulfohalobium retbaense  (strain ATCC 49708 / DSM 5692 / JCM 16813 / HR100)",,2010-Nov-29,2455,485915,B
STALH,"Staphylococcus lugdunensis  (strain HKU09-01)",,2011-Mar-21,2456,698737,B
STACT,"Staphylococcus carnosus  (strain TM300)",,2009-Dec-15,2460,396513,B
SULNB,"Sulfurovum sp.  (strain NBC37-1)",,2007-Oct-02,2460,387093,B
CALK2,"Caldicellulosiruptor kronotskyensis  (strain DSM 18902 / VKM B-2412 / 2002)",,2014-Nov-05,2460,632348,B
CALKI,"Caldicellulosiruptor kristjanssonii  (strain ATCC 700853 / DSM 12137 / I77R1B)",,2014-Nov-05,2462,632335,B
FERPA,"Ferroglobus placidus  (strain DSM 10642 / AEDII12DO)",,2010-Jul-19,2463,589924,A
STAES,"Staphylococcus epidermidis  (strain ATCC 12228 / FDA PCI 1200)",,2014-Mar-24,2466,176280,B
METI4,"Methylacidiphilum infernorum  (isolate V4)",,2008-Sep-09,2470,481448,B
NITEC,"Nitrosomonas eutropha  (strain DSM 101675 / C91 / Nm57)",,2007-Mar-07,2470,335283,B
SYNWW,"Syntrophomonas wolfei  subsp. wolfei (strain DSM 2245B / Goettingen)",,2006-Nov-21,2471,335541,B
GALAU,"Gallibacterium anatis  (strain UMN179)",,2012-Feb-09,2471,1005058,B
NITEU,"Nitrosomonas europaea  (strain ATCC 19718 / CIP 103999 / KCTC 2705 / NBRC 14298)",,2010-Mar-21,2472,228410,B
METMJ,"Methanoculleus marisnigri  (strain ATCC 35101 / DSM 1498 / JR1)",,2007-May-03,2474,368407,A
CARS1,"Carnobacterium sp.  (strain 17-4)",,2015-Mar-08,2474,208596,B
SULBS,"Sulfurospirillum barnesii  (strain ATCC 700032 / DSM 10660 / SES-3)",,2015-Mar-27,2485,760154,B
SODGM,"Sodalis glossinidius  (strain morsitans)",,2014-Mar-24,2487,343509,B
VULDI,"Vulcanisaeta distributa  (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)",,2011-Apr-10,2492,572478,A
METLA,"Methanobacterium lacus  (strain AL-21)",,2014-Oct-28,2493,877455,A
PSYCK,"Psychrobacter cryohalolentis  (strain ATCC BAA-1226 / DSM 17306 / VKM B-2378 / K5)",,2014-Mar-24,2495,335284,B
JONDD,"Jonesia denitrificans  (strain ATCC 14870 / DSM 20603 / CIP 55134)",,2009-Dec-15,2495,471856,B
BABMR,"Babesia microti  (strain RI)",,2016-Oct-09,2497,1133968,E
STAEQ,"Staphylococcus epidermidis  (strain ATCC 35984 / RP62A)",,2014-Mar-24,2499,176279,B
CORA7,"Corynebacterium aurimucosum  (strain ATCC 700975 / DSM 44827 / CN-1)",,2009-Nov-22,2504,548476,B
TETHN,"Tetragenococcus halophilus  (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172)",,2012-Nov-29,2505,945021,B
THELN,"Thermococcus litoralis  (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C)",,2016-Aug-11,2506,523849,A
STAS1,"Staphylococcus saprophyticus  subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)",,2014-Mar-24,2510,342451,B
STAAG,"Staphylococcus aureus  (strain ECT-R 2)",,2014-Nov-05,2514,889933,B
SIMNZ,"Simkania negevensis  (strain ATCC VR-1471 / Z)",,2015-Jun-17,2515,331113,B
CALH1,"Caldicellulosiruptor hydrothermalis  (strain DSM 18901 / VKM B-2411 / 108)",,2012-Apr-01,2521,632292,B
TREBD,"Treponema brennaborense  (strain DSM 12168 / CIP 105900 / DD5/3)",,2015-Mar-17,2522,906968,B
SYNPX,"Synechococcus sp.  (strain WH8102)",,2009-Sep-16,2523,84588,B
SYNP6,"Synechococcus sp.  (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)",,2014-Mar-24,2525,269084,B
SYNPW,"Synechococcus sp.  (strain WH7803)",,2007-Jul-22,2530,32051,B
FLAB3,"Flavobacteriaceae bacterium  (strain 3519-10)",,2010-Jun-14,2530,531844,B
KYTSD,"Kytococcus sedentarius  (strain ATCC 14392 / DSM 20547 / CCM 314 / 541)",,2010-Feb-24,2531,478801,B
SYNR3,"Synechococcus sp.  (strain RCC307)",,2007-Oct-02,2532,316278,B
PREDD,"Prevotella dentalis  (strain ATCC 49559 / DSM 3688 / JCM 13448 / NCTC 12043 / ES 2772)",,2019-Jan-06,2544,908937,B
PUNMI,"Puniceispirillum marinum  (strain IMCC1322)",,2010-Sep-29,2545,488538,B
CALS4,"Caldanaerobacter subterraneus  subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4)",,2010-Mar-21,2547,273068,B
METHD,"Methanomethylovorans hollandica  (strain DSM 15978 / NBRC 107637 / DMS1)",,2014-Oct-26,2551,867904,A
DESIS,"Desulfurispirillum indicum  (strain ATCC BAA-1389 / S5)",,2012-Apr-01,2551,653733,B
LACLK,"Lactococcus lactis  subsp. lactis (strain KF147)",,2011-May-26,2558,684738,B
TRES6,"Treponema succinifaciens  (strain ATCC 33096 / DSM 2489 / 6091)",,2013-Jan-10,2559,869209,B
CLOPS,"Clostridium perfringens  (strain SM101 / Type A)",,2006-Oct-17,2566,289380,B
STAAE,"Staphylococcus aureus  (strain Newman)",,2008-Feb-07,2570,426430,B
ACESD,"Acetoanaerobium sticklandii  (strain ATCC 12662 / DSM 519 / JCM 1433 / NCIMB 10654)",,2013-Aug-19,2572,499177,B
METBM,"Methanoculleus bourgensis  (strain ATCC 43281 / DSM 3045 / OCM 15 / MS2)",,2014-Oct-26,2575,1201294,A
STAAJ,"Staphylococcus aureus  (strain JKD6159)",,2012-Apr-01,2577,869816,B
ENTFO,"Enterococcus faecalis  (strain ATCC 47077 / OG1RF)",,2013-Dec-17,2578,474186,B
CHLPD,"Chlorobium phaeobacteroides  (strain DSM 266)",,2007-Mar-07,2579,290317,B
STAAB,"Staphylococcus aureus  (strain bovine RF122 / ET3-1)",,2014-Mar-24,2581,273036,B
CARH6,"Cardiobacterium hominis  (strain ATCC 15826 / DSM 8339 / NCTC 10426 / 6573)",,2018-Feb-15,2581,638300,B
THETC,"Thermoanaerobacterium thermosaccharolyticum  (strain ATCC 7956 / DSM 571 / NCIB 9385 / NCA 3814)",,2014-Nov-05,2583,580327,B
CAPGI,"Capnocytophaga gingivalis",,2019-Jan-06,2588,553178,B
THOAR,"Thorarchaeota archaeon  (strain OWC)",,2018-Oct-28,2591,2053491,A
NEIG2,"Neisseria gonorrhoeae  (strain NCCP11945)",,2008-Oct-26,2592,521006,B
FLABB,"Flavobacteria bacterium  (strain BBFL7)",,2019-Jan-06,2592,156586,B
STAAN,"Staphylococcus aureus  (strain N315)",,2014-Mar-24,2593,158879,B
DESAT,"Desulfurivibrio alkaliphilus  (strain DSM 19089 / UNIQEM U267 / AHT2)",,2011-Apr-10,2595,589865,B
SULIM,"Sulfolobus islandicus  (strain M.14.25 / Kamchatka #1)",,2009-Jul-23,2596,427317,A
CLOSS,"Clostridium sp.  (strain SY8519)",,2014-Nov-05,2598,1042156,B
PYRAE,"Pyrobaculum aerophilum  (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)",,2009-Sep-14,2600,178306,A
STAA3,"Staphylococcus aureus  (strain USA300)",,2014-Mar-24,2603,367830,B
METFK,"Methylobacillus flagellatus  (strain KT / ATCC 51484 / DSM 6875)",,2006-Sep-25,2608,265072,B
IDILO,"Idiomarina loihiensis  (strain ATCC BAA-735 / DSM 15497 / L2-TR)",,2014-Mar-24,2609,283942,B
FLACA,"Flavobacterium columnare  (strain ATCC 49512 / CIP 103533 / TG 44/87)",,2014-Nov-05,2611,1041826,B
CARHZ,"Carboxydothermus hydrogenoformans  (strain ATCC BAA-161 / DSM 6008 / Z-2901)",,2014-Mar-24,2615,246194,B
SACS9,"Saccharolobus solfataricus  (strain 98/2)",,2010-Feb-28,2617,555311,A
CALS8,"Caldicellulosiruptor saccharolyticus  (strain ATCC 43494 / DSM 8903 / Tp8T 6331)",,2007-Oct-25,2619,351627,B
STAAF,"Staphylococcus aureus  subsp. aureus (strain ED133)",,2011-May-30,2620,685039,B
DESCC,"Desulfotomaculum nigrificans  (strain DSM 14880 / VKM B-2319 / CO-1-SRB)",,2015-Mar-27,2620,868595,B
GLUOX,"Gluconobacter oxydans  (strain 621H)",,2014-Mar-24,2622,290633,B
SULIR,"Sulfolobus islandicus  (strain REY15A)",,2012-Aug-19,2630,930945,A
KANKD,"Kangiella koreensis  (strain DSM 16069 / KCTC 12182 / SW-125)",,2013-May-28,2630,523791,B
SYNSC,"Synechococcus sp.  (strain CC9605)",,2014-Mar-24,2632,110662,B
