EC,TT,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
P41441,Q5SK58,36.62,71,45,0,323,393,329,399,4.00E-10,58.7
P41441,Q5SK58,39.29,56,34,0,60,115,66,121,6.00E-09,55
P41441,Q5SK58,37.5,40,25,0,3,42,4,43,3.00E-04,39.2
P15047,Q53W85,35.59,118,76,0,66,183,62,179,2.00E-21,95.6
P15047,Q53W85,44.74,38,21,0,209,246,197,234,5.00E-04,37.8
P15047,Q53W85,50,34,17,0,1,34,1,34,0.002,36
P15047,Q5SK86,35.94,128,82,0,52,179,58,185,7.00E-16,77.3
P15047,Q5SL78,32.74,113,76,0,73,185,81,193,1.00E-14,73.2
P15047,Q5SL78,44.44,45,25,0,201,245,199,243,1.00E-07,49.7
P15047,Q5SK98,37.8,82,51,0,50,131,55,136,2.00E-10,59.4
P15047,Q5SK98,53.66,41,19,0,208,248,202,242,7.00E-08,50.7
P15047,Q5SK98,26.39,72,53,0,110,181,114,185,2.00E-06,45.6
P15047,Q5SKF2,45.16,62,34,0,124,185,128,189,1.00E-09,56.6
P15047,Q5SKI3,30.34,89,62,0,91,179,102,190,5.00E-08,51.1
P15047,Q5SKI3,50,36,18,0,1,36,1,36,7.00E-05,40.6
P15047,Q53WH2,46.15,39,21,0,208,246,203,241,9.00E-07,47
P15047,Q53WH2,36.21,58,37,0,124,181,129,186,6.00E-06,44.2
P15047,Q53WH2,32.2,59,40,0,50,108,58,116,4.00E-04,38.3
P15047,Q53WH2,44.12,34,19,0,4,37,5,38,0.005,34.6
P15047,Q5SLC4,28.4,81,58,0,51,131,56,136,3.00E-06,45.2
P15047,Q5SLC4,48.65,37,19,0,209,245,210,246,1.00E-05,43.3
P15047,Q5SLC4,43.59,39,22,0,142,180,147,185,2.00E-04,39.2
P15047,Q5SLC4,56.67,30,13,0,3,32,4,33,4.00E-04,38.3
P15047,Q5SKF0,58.82,34,14,0,3,36,4,37,4.00E-06,44.7
P15047,Q5SKF0,30.51,59,41,0,73,131,75,133,2.00E-04,39.2
P15047,Q53W82,48.65,37,19,0,207,243,199,235,6.00E-06,44.2
P15047,Q53W82,33.33,42,28,0,139,180,139,180,0.009,33.7
P15047,Q53WH6,40.48,42,25,0,204,245,210,251,3.00E-05,41.9
P15047,Q53WH6,26.83,82,60,0,52,133,64,145,3.00E-04,38.7
P15047,Q53WH6,53.57,28,13,0,5,32,10,37,0.002,35.5
P15047,Q5SLQ2,36.67,60,38,0,120,179,118,177,3.00E-04,38.7
P15047,Q5SIY1,29.17,72,51,0,90,161,97,168,0.002,36
P15047,Q5SLI9,30.77,65,45,0,121,185,137,201,0.002,36
P15047,Q5SM10,44.44,36,20,0,1,36,6,41,0.006,34.1
P10378,Q5SKN9,36,100,64,0,380,479,383,482,2.00E-17,83.5
P10378,Q53WH5,35,100,65,0,380,479,156,255,3.00E-16,79.8
P10378,Q5SIW4,42.47,73,42,0,409,481,489,561,5.00E-15,75.7
P10378,Q5SIW6,40.54,74,44,0,409,482,497,570,8.00E-13,68.3
P10378,Q5SIW6,30.77,52,36,0,46,97,109,160,0.006,35.6
P10378,Q5SIB1,40.54,74,44,0,408,481,430,503,1.00E-12,67.8
P10378,Q5SIB1,43.59,39,22,0,361,399,384,422,5.00E-06,45.7
P10378,Q5SIB1,33.33,51,34,0,47,97,50,100,0.001,37.9
P10378,Q5SIB1,34.21,38,25,0,496,533,521,558,0.004,36
P10378,Q5SIE4,40.54,74,44,0,408,481,419,492,1.00E-12,67.8
P10378,Q5SIE4,43.59,39,22,0,361,399,373,411,5.00E-06,45.7
P10378,Q5SIE4,31.37,51,35,0,47,97,44,94,0.003,36.5
P10378,Q5SIE4,34.21,38,25,0,496,533,510,547,0.004,36
P10378,Q5SIW5,41.67,60,35,0,409,468,697,756,1.00E-09,57.7
P10378,Q5SKQ7,32.26,62,42,0,372,433,393,454,2.00E-08,53.5
P10378,Q5SIS9,27.4,73,53,0,409,481,478,550,1.00E-07,50.8
P60566,Q5SJ69,29.09,55,39,0,150,204,143,197,2.00E-05,42.3
P16433,Q56218,44,50,28,0,75,124,71,120,3.00E-11,62.1
P16433,Q56218,48.65,37,19,0,118,154,113,149,4.00E-08,51.5
P33591,Q5SIN2,42.91,261,149,0,47,307,44,304,2.00E-75,275
P33591,Q5SIN2,50,36,18,0,1,36,1,36,5.00E-08,51.6
P33591,Q5SHU7,36.84,133,84,0,175,307,202,334,2.00E-30,125
P33591,Q5SHU7,43.08,65,37,0,98,162,98,162,2.00E-14,72.6
P33591,Q5SHU7,35.53,76,49,0,8,83,7,82,1.00E-07,50.1
P33591,Q5SHU7,50,34,17,0,1,34,1,34,3.00E-06,45.8
P33591,Q5SL23,36.09,133,85,0,175,307,198,330,7.00E-26,110
P33591,Q5SL23,40.37,109,65,0,47,155,50,158,2.00E-24,106
P33591,Q5SL23,39.39,33,20,0,1,33,6,38,0.001,36.7
P33591,Q5SHU8,24.68,77,58,0,170,246,250,326,7.00E-05,41
P33591,Q5SIN1,27.27,66,48,0,181,246,206,271,0.003,35.8
P06864,Q53WC8,40.54,37,22,0,358,394,297,333,4.00E-04,40.3
P28246,Q53W27,36.84,152,96,0,12,163,7,158,2.00E-31,129
P28246,Q53W27,30.91,55,38,0,186,240,179,233,8.00E-04,37.9
P28246,Q5SKG4,28.24,170,122,0,9,178,17,186,4.00E-18,85.4
P28246,Q5SJ77,25.2,123,92,0,74,196,70,192,1.00E-08,54.2
P28246,Q5SJ77,26.15,65,48,0,11,75,6,70,1.00E-04,40.7
P28246,Q5SKI2,28.18,110,79,0,20,129,13,122,2.00E-08,53.2
P28246,Q5SLE2,23.18,151,116,0,31,181,22,172,1.00E-07,50.8
P28246,Q5SLE2,38.1,63,39,0,18,80,203,265,3.00E-07,49.4
P28246,Q5SHY3,20.69,87,69,0,95,181,94,180,1.00E-04,40.7
P28246,Q5SLU0,29.85,67,47,0,41,107,235,301,0.006,35
P30843,Q5SJK6,40.58,138,82,0,56,193,79,216,2.00E-28,118
P30843,Q5SI72,45.87,109,59,0,63,171,68,176,2.00E-25,108
P30843,Q5SMC3,43.44,122,69,0,2,123,3,124,7.00E-24,103
P30843,Q5SHK8,54.17,72,33,0,47,118,45,116,1.00E-19,89.7
P30843,Q5SHK8,32.47,77,52,0,126,202,122,198,4.00E-05,41.2
P30843,Q5SK38,36.52,115,73,0,2,116,3,117,3.00E-17,81.8
P30843,Q5SLZ8,68.09,47,15,0,72,118,72,118,3.00E-15,74.9
P30843,Q5SLZ8,32.43,74,50,0,130,203,128,201,7.00E-07,47.2
P30843,Q5SLZ8,60,25,10,0,47,71,46,70,0.007,33.8
P30843,Q5SJL3,40,80,48,0,47,126,49,128,3.00E-13,68.4
P30843,Q5SHY7,48.39,62,32,0,63,124,60,121,5.00E-13,67.5
P30843,Q5SHY7,26.39,72,53,0,116,187,112,183,0.01,33.3
P30843,Q5SIK7,33.7,92,61,0,113,204,111,202,1.00E-10,59.6
P30843,Q5SIK7,56.82,44,19,0,74,117,74,117,1.00E-09,56.4
P30843,Q5SIK7,36.36,66,42,0,2,67,3,68,6.00E-06,44
P30843,Q5SJH8,35.38,65,42,0,48,112,49,113,1.00E-05,43
P30843,Q53VZ6,29.33,75,53,0,76,150,80,154,0.001,36.1
Q46899,Q53VX9,57.78,45,19,0,5,49,4,48,2.00E-11,62.9
Q46899,Q53VX9,47.37,38,20,0,178,215,177,214,4.00E-07,48.7
Q46899,Q53VX9,42.86,35,20,0,207,241,209,243,0.002,36.8
P28248,Q5SM13,36.17,47,30,0,77,123,72,118,5.00E-05,40.8
P0A6J5,Q5SI44,33.96,53,35,0,2,54,3,55,4.00E-05,42.5
P0ABM9,Q5SIG7,41.57,89,52,0,36,124,30,118,2.00E-21,96.4
P0ABM9,Q5SJR3,37.14,35,22,0,305,339,38,72,0.001,37
P0ABM1,Q5SIG3,45.65,92,50,0,94,185,85,176,4.00E-27,114
P75908,Q5SHH2,51.35,74,36,0,311,384,197,270,1.00E-21,97.7
P75908,Q5SHT9,41.77,79,46,0,311,389,232,310,2.00E-16,80.2
P75908,Q5SK54,37.66,77,48,0,311,387,192,268,3.00E-15,76
P75908,Q5SJL9,33.33,93,62,0,297,389,612,704,1.00E-10,60.9
P0A9P0,Q5SLK6,44.79,192,106,0,265,456,254,445,9.00E-49,187
P0A9P0,Q5SLK6,39.77,88,53,0,142,229,134,221,2.00E-19,89.7
P0A9P0,Q5SLK6,57.63,59,25,0,9,67,4,62,3.00E-17,82.9
P0A9P0,Q5SLR0,51.33,113,55,0,347,459,342,454,1.00E-32,134
P0A9P0,Q5SLR0,53.66,82,38,0,265,346,261,342,5.00E-23,102
P0A9P0,Q5SLR0,35.71,56,36,0,174,229,168,223,8.00E-11,61.4
P0A9P0,Q5SLR0,33.96,53,35,0,78,130,76,128,2.00E-08,53.1
P0A9P0,Q5SLR0,47.62,42,22,0,33,74,32,73,6.00E-08,51.8
P0A9P0,Q5SLR0,53.57,28,13,0,9,36,9,36,2.00E-04,40.4
P0A9P0,Q5SJ61,41.51,106,62,0,265,370,252,357,5.00E-23,102
P0A9P0,Q5SJ61,35,80,52,0,142,221,134,213,2.00E-13,70.1
P0A9P0,Q5SJ61,57.69,26,11,0,41,66,36,61,1.00E-04,40.8
P0A9P0,Q5SI44,42.42,33,19,0,8,40,3,35,0.006,35.3
P0A9P0,Q5SH95,25,52,39,0,177,228,151,202,0.008,34.9
P0A9P0,Q53W53,36.11,36,23,0,8,43,2,37,0.008,34.9
P76236,Q5SHT9,40.79,76,45,0,360,435,235,310,3.00E-13,69.7
P76236,Q5SHH2,37.04,81,51,0,350,430,190,270,4.00E-13,69.2
P76236,Q5SK54,31.58,76,52,0,358,433,193,268,3.00E-11,63
P76236,Q5SJL9,31.08,74,51,0,362,435,631,704,1.00E-07,51.2
P0A9H7,Q5SKN4,58.33,24,10,0,163,186,89,112,0.006,35
P0AEE3,Q5SIP9,71.43,28,8,0,190,217,211,238,8.00E-08,51
P0AEE3,Q5SIP9,53.33,30,14,0,77,106,92,121,3.00E-05,42.3
P0AEE3,Q5SIP9,52,25,12,0,151,175,168,192,0.002,36.8
P0AEE3,Q5SM44,42.86,42,24,0,91,132,65,106,3.00E-04,39.1
P0ABR7,Q5SKY8,30.56,36,25,0,319,354,423,458,0.007,34.7
P0AE78,Q5SKB4,38.46,156,96,0,125,280,280,435,1.00E-36,146
P0AE78,Q5SKB4,29.03,93,66,0,33,125,187,279,1.00E-13,70.2
P0AE82,Q5SI71,44,75,42,0,378,452,385,459,8.00E-15,74.6
P0AE82,Q5SI71,40.38,52,31,0,217,268,225,276,1.00E-05,44.3
P0AE82,Q5SHK7,35.06,77,50,0,378,454,290,366,9.00E-12,64.5
P0AE82,Q5SHK7,44.12,34,19,0,225,258,133,166,1.00E-04,41.1
P0AE82,Q5SJ71,32,75,51,0,380,454,883,957,4.00E-08,52.6
P0AE82,Q5SIK6,29.89,87,61,0,217,303,193,279,5.00E-07,48.9
P0AE82,Q5SK37,38,50,31,0,354,403,731,780,2.00E-05,43.8
P0AE82,Q5SK37,26.92,78,57,0,199,276,574,651,0.001,37.8
P0AE82,Q5SJK5,30.14,73,51,0,182,254,142,214,8.00E-05,41.5
P0AE82,Q5SHY8,24.62,65,49,0,339,403,314,378,2.00E-04,40.1
P0AE82,Q5SKA8,28,50,36,0,205,254,83,132,0.002,36.9
P0AAJ8,Q5SHG6,36.36,33,21,0,102,134,682,714,0.01,34
P0AF12,Q5SI30,35.4,113,73,0,40,152,34,146,4.00E-17,81.2
P0AF12,Q5SI30,38.33,60,37,0,168,227,161,220,4.00E-07,48
P13009,Q5SKM5,38.73,142,87,0,429,570,438,579,4.00E-30,127
P13009,Q5SKM5,40.2,102,61,0,740,841,742,843,2.00E-24,107
P13009,Q5SKM5,50.62,81,40,0,661,741,666,746,2.00E-20,94.6
P13009,Q5SKM5,43.94,66,37,0,51,116,77,142,3.00E-13,71.2
P13009,Q5SKM5,35.14,74,48,0,141,214,151,224,8.00E-11,62.9
P13009,Q5SKM5,46.15,52,28,0,284,335,296,347,5.00E-10,60.2
P13009,Q5SKM5,31.58,57,39,0,346,402,358,414,7.00E-06,46.4
P13009,Q5SKM5,33.33,66,44,0,217,282,226,291,2.00E-05,45.1
P13009,Q5SKM5,29.87,77,54,0,568,644,575,651,3.00E-05,44.1
P13009,Q5SKM5,36.36,44,28,0,1112,1155,1105,1148,5.00E-05,43.7
P13009,Q5SJH0,29.89,87,61,0,748,834,9,95,9.00E-05,42.8
P0AFA7,Q5SHD2,37.84,37,23,0,209,245,147,183,7.00E-04,38.4
P30860,Q5SJ43,31.48,162,111,0,22,183,31,192,3.00E-26,111
P30860,Q5SJ43,48.78,41,21,0,201,241,207,247,3.00E-07,48.6
P0ABD3,Q5SJM6,45.6,125,68,0,27,151,2,126,4.00E-35,140
P0ABD3,Q5SI92,31.82,66,45,0,7,72,8,73,0.004,34.1
P12995,Q5SJU9,42.11,95,55,0,204,298,183,277,5.00E-22,98.4
P12995,Q5SJU9,47.5,40,21,0,87,126,87,126,5.00E-06,45.3
P12995,Q5SHH5,43.36,113,64,0,204,316,184,296,5.00E-21,95.2
P12995,Q5SHH5,40.48,42,25,0,306,347,280,321,0.003,36
P12995,Q5SJZ0,42.11,76,44,0,204,279,213,288,6.00E-16,78.4
P12995,Q5SJZ0,35.71,56,36,0,41,96,49,104,2.00E-07,49.9
P12995,Q5SJZ0,39.66,58,35,0,306,363,308,365,5.00E-04,38.8
P12995,Q5SJS4,31.11,45,31,0,29,73,38,82,0.006,35
P0AEJ4,Q5SI71,34.52,84,55,0,325,408,345,428,1.00E-08,54.2
P0AEJ4,Q5SI71,34.15,41,27,0,212,252,225,265,0.003,36.2
P0AEJ4,Q5SK37,31.75,63,43,0,328,390,718,780,1.00E-07,50.5
P0AEJ4,Q5SK37,42.31,26,15,0,238,263,618,643,0.008,34.8
P0AEJ4,Q5SHK7,34.55,55,36,0,354,408,279,333,2.00E-05,43.6
P0AEJ4,Q5SIK6,35.59,59,38,0,352,410,331,389,3.00E-05,42.6
P0AEJ4,Q5SIK6,25.27,91,68,0,160,250,141,231,4.00E-04,38.9
P0AEJ4,Q5SJ71,30.91,55,38,0,354,408,870,924,5.00E-05,42.2
P0AEJ4,Q5SJ71,42.86,42,24,0,397,438,915,956,7.00E-05,41.7
P0AEJ4,Q5SHY8,29.41,68,48,0,326,393,314,381,7.00E-05,41.7
P0AEJ4,Q5SKA8,34.04,47,31,0,203,249,86,132,8.00E-04,38
P0AEJ4,Q5SJK5,37.84,37,23,0,401,437,360,396,0.008,34.8
P21177,Q5SIV2,42.16,204,118,0,314,517,4,207,4.00E-45,176
P21177,Q5SIE0,52,100,48,0,90,189,98,197,2.00E-30,127
P21177,Q5SLK3,35.34,116,75,0,92,207,81,196,9.00E-17,81.9
P21177,Q5SLK3,30,60,42,0,14,73,7,66,9.00E-04,38.7
P21177,Q5SKU3,40.38,52,31,0,94,145,86,137,3.00E-07,50.2
P21177,Q5SLS5,26.85,108,79,0,100,207,102,209,6.00E-07,49.3
P21177,Q5SJW2,39.62,53,32,0,102,154,543,595,5.00E-06,46
P21177,Q5SJW2,44.19,43,24,0,394,436,83,125,2.00E-05,44.2
P21177,Q5SJW2,52.94,34,16,0,314,347,3,36,3.00E-04,40.1
P21177,Q5SH95,29.85,67,47,0,304,370,140,206,6.00E-04,39.2
P0AER5,Q5SJ44,34.13,126,83,0,99,224,132,257,7.00E-21,93.7
P0AER5,Q5SJ44,33.33,69,46,0,16,84,49,117,1.00E-06,46.1
P0AER5,Q5SHS9,36.17,47,30,0,130,176,328,374,0.001,36.6
P0AER5,Q5SJN1,29.03,62,44,0,115,176,166,227,0.003,35.2
P77247,Q5SI65,27.54,69,50,0,122,190,129,197,3.00E-05,41.6
P62615,P83700,37.33,75,47,0,130,204,114,188,9.00E-11,60.5
P62615,P83700,50,44,22,0,89,132,76,119,7.00E-08,50.8
P62615,P83700,44.74,38,21,0,7,44,5,42,6.00E-05,41.1
P16429,Q56228,35.37,82,53,0,321,402,307,388,2.00E-11,63.8
P16429,Q56227,35.29,51,33,0,262,312,269,319,3.00E-06,46.8
P16429,Q56227,39.47,38,23,0,351,388,345,382,7.00E-05,42
P0A6A6,Q9ZND5,51.8,305,147,0,1,305,1,305,6.00E-106,377
P0A6A6,Q9ZND5,57.14,140,60,0,315,454,314,453,6.00E-48,184
P0A6A6,Q9ZND5,61.54,26,10,0,440,465,440,465,0.001,37.7
P0A6A6,Q5SH19,48.76,121,62,0,339,459,286,406,1.00E-31,130
P0A6A6,Q5SH19,30.61,98,68,0,105,202,98,195,1.00E-12,67.5
P0A6A6,Q5SH19,70,20,6,0,216,235,210,229,0.002,36.8
P0A6A6,Q5SMF6,34.43,122,80,0,123,244,205,326,1.00E-17,83.9
P69210,Q5SJS3,40.4,99,59,0,11,109,6,104,1.00E-21,95.2
P0AF03,Q5SLF2,49.5,101,51,0,46,146,42,142,7.00E-26,110
P08331,Q5SIP1,44.19,43,24,0,104,146,103,145,3.00E-04,40.2
P0AE76,Q53W96,47.54,61,32,0,115,175,534,594,2.00E-14,71.7
P0AE76,Q53W96,43.33,30,17,0,30,59,466,495,1.00E-04,39.4
P18776,Q5SHG6,33.33,57,38,0,61,117,686,742,2.00E-10,59
P0A9W3,Q5SIX4,32.31,65,44,0,319,383,18,82,3.00E-11,63.2
P0A9W3,Q5SIX4,60.61,33,13,0,163,195,153,185,1.00E-06,48.1
P0A9W3,Q5SIX4,41.3,46,27,0,444,489,152,197,3.00E-04,39.9
P0A9W3,Q5SIB5,39.29,56,34,0,323,378,3,58,1.00E-10,60.9
P0A9W3,Q5SIB5,46.34,41,22,0,157,197,129,169,5.00E-06,45.8
P0A9W3,Q5SIB5,37.21,43,27,0,22,64,19,61,2.00E-04,40.4
P0A9W3,Q5SIB5,42.86,42,24,0,440,481,130,171,0.009,34.9
P0A9W3,Q5SHV0,35,60,39,0,323,382,6,65,4.00E-10,59.5
P0A9W3,Q5SHV0,51.28,39,19,0,438,476,125,163,2.00E-06,47.2
P0A9W3,Q5SHV0,51.28,39,19,0,157,195,126,164,3.00E-06,46.7
P0A9W3,Q5SHV0,41.67,36,21,0,21,56,21,56,5.00E-06,45.8
P0A9W3,Q53VZ4,35.38,65,42,0,322,386,17,81,5.00E-10,59.1
P0A9W3,Q53VZ4,55.88,34,15,0,163,196,155,188,3.00E-06,46.7
P0A9W3,Q53VZ4,45.71,35,19,0,21,55,33,67,6.00E-05,42.2
P0A9W3,Q53VZ4,50,34,17,0,443,476,153,186,2.00E-04,40.4
P0A9W3,Q5SL54,40.32,62,37,0,321,382,2,63,5.00E-10,59.1
P0A9W3,Q5SL54,42.86,49,28,0,157,205,132,180,3.00E-07,49.9
P0A9W3,Q5SL54,42.22,45,26,0,445,489,138,182,9.00E-06,44.9
P0A9W3,Q5SJR7,39.34,61,37,0,324,384,3,63,5.00E-10,59.1
P0A9W3,Q5SJR7,44.74,38,21,0,18,55,14,51,3.00E-05,43.1
P0A9W3,Q5SJR7,50,40,20,0,158,197,128,167,4.00E-04,39.4
P0A9W3,Q5SJR7,41.67,48,28,0,442,489,130,177,0.009,34.9
P0A9W3,Q53VW1,35,60,39,0,323,382,1,60,7.00E-10,58.6
P0A9W3,Q53VW1,44.44,45,25,0,18,62,13,57,3.00E-06,46.7
P0A9W3,Q5SH42,38.57,70,43,0,157,226,126,195,2.00E-09,57.3
P0A9W3,Q5SH42,35.09,57,37,0,322,378,2,58,3.00E-08,53.1
P0A9W3,Q5SH42,39.13,46,28,0,18,63,15,60,2.00E-05,44
P0A9W3,Q5SH42,30.99,71,49,0,440,510,127,197,0.009,34.9
P0A9W3,Q5SKQ6,37.93,58,36,0,323,380,4,61,2.00E-09,57.3
P0A9W3,Q5SKQ6,39.02,41,25,0,22,62,20,60,8.00E-04,38.5
P0A9W3,Q5SKQ6,45.24,42,23,0,166,207,151,192,0.002,37.2
P0A9W3,Q5SIG1,34.48,58,38,0,323,380,2,59,3.00E-09,56.3
P0A9W3,Q5SIG1,52.5,40,19,0,157,196,109,148,7.00E-07,48.6
P0A9W3,Q5SIG1,43.9,41,23,0,21,61,17,57,3.00E-06,46.3
P0A9W3,Q5SIG1,45.45,44,24,0,446,489,116,159,0.007,35.3
P0A9W3,Q5SKE9,38.33,60,37,0,324,383,3,62,6.00E-09,55.4
P0A9W3,Q5SKE9,38.64,44,27,0,18,61,14,57,2.00E-04,40.8
P0A9W3,Q5SIN4,39.66,58,35,0,323,380,3,60,2.00E-08,54.1
P0A9W3,Q5SIN4,46.51,43,23,0,20,62,17,59,3.00E-06,46.3
P0A9W3,Q5SIN4,46.88,32,17,0,159,190,133,164,8.00E-04,38.5
P0A9W3,Q5SL40,39.58,48,29,0,324,371,4,51,2.00E-08,54.1
P0A9W3,Q5SL40,40,50,30,0,160,209,132,181,2.00E-05,44
P0A9W3,Q5SL40,47.06,34,18,0,22,55,19,52,5.00E-04,39
P0A9W3,Q5SL40,45.71,35,19,0,442,476,132,166,0.002,37.2
P0A9W3,Q5SKC8,68.75,32,10,0,163,194,116,147,2.00E-08,54.1
P0A9W3,Q5SKC8,59.46,37,15,0,440,476,111,147,1.00E-06,48.1
P0A9W3,Q5SL41,46.51,43,23,0,342,384,36,78,3.00E-08,53.1
P0A9W3,Q5SL41,59.26,27,11,0,164,190,156,182,2.00E-04,40.4
P0A9W3,Q5SL41,40.48,42,25,0,21,62,32,73,0.002,37.2
P0A9W3,Q5SIR0,35,60,39,0,323,382,1,60,3.00E-08,53.1
P0A9W3,Q5SIR0,35.21,71,46,0,155,225,128,198,1.00E-07,50.9
P0A9W3,Q5SIR0,27.4,73,53,0,435,507,126,198,0.004,36.2
P0A9W3,Q5SIR0,43.24,37,21,0,25,61,20,56,0.009,34.9
P0A9W3,Q5SJ09,42,50,29,0,329,378,33,82,3.00E-08,53.1
P0A9W3,Q5SJ09,36.73,49,31,0,160,208,157,205,2.00E-05,43.5
P0A9W3,Q5SJ09,38.1,42,26,0,22,63,43,84,4.00E-05,42.6
P0A9W3,Q5SID8,42.86,49,28,0,323,371,4,52,3.00E-08,53.1
P0A9W3,Q5SID8,62.5,32,12,0,163,194,138,169,3.00E-06,46.3
P0A9W3,Q5SID8,38.1,42,26,0,21,62,19,60,2.00E-04,40.4
P0A9W3,Q5SID8,53.13,32,15,0,445,476,138,169,8.00E-04,38.5
P0A9W3,Q5SL46,38.6,57,35,0,324,380,4,60,6.00E-08,52.2
P0A9W3,Q5SL46,39.58,48,29,0,158,205,147,194,5.00E-04,39
P0A9W3,Q5SL46,35.42,48,31,0,442,489,149,196,0.007,35.3
P0A9W3,Q5SH06,32.14,56,38,0,323,378,1,56,8.00E-08,51.8
P0A9W3,Q5SH06,45.45,44,24,0,440,483,128,171,4.00E-04,39.4
P0A9W3,Q5SJN3,57.14,35,15,0,161,195,132,166,1.00E-07,50.9
P0A9W3,Q5SJN3,29.51,61,43,0,324,384,4,64,1.00E-06,48.1
P0A9W3,Q5SJN3,48.48,33,17,0,444,476,133,165,4.00E-04,39.4
P0A9W3,Q5SJN3,40,45,27,0,18,62,15,59,0.001,38.1
P0A9W3,Q5SJB5,35.09,57,37,0,322,378,3,59,3.00E-07,49.9
P0A9W3,Q5SJB5,34.62,52,34,0,157,208,135,186,3.00E-04,39.9
P0A9W3,Q5SJB5,44.74,38,21,0,25,62,23,60,0.002,37.2
P0A9W3,Q5SJ55,52.63,38,18,0,161,198,137,174,5.00E-07,49
P0A9W3,Q5SJ55,44.19,43,24,0,20,62,18,60,3.00E-06,46.7
P0A9W3,Q5SJ55,30.65,62,43,0,321,382,2,63,5.00E-06,45.8
P0A9W3,Q5SJ55,41.03,39,23,0,440,478,134,172,0.001,37.6
P0A9W3,Q5SKR4,31.15,61,42,0,324,384,4,64,5.00E-07,49
P0A9W3,Q5SKR4,47.37,38,20,0,159,196,130,167,3.00E-06,46.7
P0A9W3,Q5SKA0,60,35,14,0,160,194,133,167,7.00E-07,48.6
P0A9W3,Q5SKA0,48.78,41,21,0,22,62,15,55,1.00E-06,47.7
P0A9W3,Q5SKA0,52.5,40,19,0,438,477,129,168,9.00E-06,44.9
P0A9W3,Q5SKA0,41.18,34,20,0,349,382,25,58,5.00E-04,39
P0A9W3,Q5SH92,35.29,51,33,0,324,374,4,54,7.00E-07,48.6
P0A9W3,Q5SH92,50,34,17,0,21,54,18,51,0.004,36.2
P0A9W3,Q5SLN1,31.82,66,45,0,321,386,22,87,1.00E-06,48.1
P0A9W3,Q5SLN1,44.44,45,25,0,445,489,168,212,6.00E-06,45.4
P0A9W3,Q5SLN1,46.88,32,17,0,163,194,168,199,6.00E-05,42.2
P0A9W3,Q5SH96,54.05,37,17,0,161,197,140,176,2.00E-06,47.2
P0A9W3,Q5SH96,41.86,43,25,0,445,487,142,184,2.00E-04,40.4
P0A9W3,Q5SH96,38.71,31,19,0,354,384,36,66,5.00E-04,39
P0A9W3,Q5SH96,46.88,32,17,0,30,61,29,60,0.001,38.1
P0A9W3,Q5SIF0,62.5,32,12,0,163,194,155,186,3.00E-06,46.7
P0A9W3,Q5SIF0,38.46,39,24,0,342,380,43,81,3.00E-06,46.3
P0A9W3,Q5SIF0,52.63,38,18,0,440,477,150,187,6.00E-05,42.2
P0A9W3,Q5SIF0,41.46,41,24,0,24,64,42,82,3.00E-04,39.9
P0A9W3,Q5SIM7,51.35,37,18,0,163,199,475,511,3.00E-06,46.7
P0A9W3,Q5SIM7,35.42,48,31,0,336,383,351,398,3.00E-04,39.9
P0A9W3,Q5SIM7,41.46,41,24,0,439,479,469,509,0.007,35.3
P0A9W3,Q5SM72,47.73,44,23,0,162,205,118,161,3.00E-06,46.7
P0A9W3,Q5SM72,36.36,44,28,0,345,388,23,66,2.00E-05,44
P0A9W3,Q5SM72,59.38,32,13,0,445,476,119,150,2.00E-04,40.4
P0A9W3,Q5SM72,51.72,29,14,0,27,55,22,50,0.001,38.1
P0A9W3,Q5SJK1,54.29,35,16,0,163,197,143,177,5.00E-06,45.8
P0A9W3,Q5SJK1,41.46,41,24,0,22,62,22,62,4.00E-05,42.6
P0A9W3,Q5SJK1,47.22,36,19,0,444,479,142,177,2.00E-04,40.4
P0A9W3,Q5SJK1,31.71,41,28,0,342,382,25,65,0.002,37.2
P0A9W3,Q5SKQ5,48.57,35,18,0,337,371,16,50,9.00E-06,44.9
P0A9W3,Q5SKQ5,45,40,22,0,22,61,18,57,2.00E-04,40.8
P0A9W3,Q5SM29,51.35,37,18,0,158,194,491,527,4.00E-05,42.6
P0A9W3,Q5SM29,39.58,48,29,0,18,65,392,439,1.00E-04,41.3
P0A9W3,Q5SM29,39.47,38,23,0,335,372,392,429,2.00E-04,40.4
P0A9W3,Q5SM29,46.34,41,22,0,441,481,492,532,0.004,36.2
P0A9W3,Q5SL20,35.71,42,27,0,339,380,34,75,6.00E-05,42.2
P0A9W3,Q5SL20,34.78,46,30,0,164,209,160,205,1.00E-04,41.3
P0A9W3,Q5SL20,36.36,44,28,0,444,487,158,201,8.00E-04,38.5
P0A9W3,Q5SIR9,56.25,32,14,0,163,194,139,170,1.00E-04,41.3
P0A9W3,Q5SIN5,36.73,49,31,0,157,205,54,102,1.00E-04,41.3
P0A9W3,Q5SJP5,40.82,49,29,0,440,488,53,101,0.001,37.6
P0A9W3,Q5SIM8,36.11,36,23,0,18,53,372,407,0.004,36.2
P0A9W3,Q5SL21,46.88,32,17,0,163,194,163,194,0.004,36.2
P0A9W3,Q5SL21,41.18,34,20,0,444,477,162,195,0.005,35.8
P0A9W3,Q5SL21,26.39,72,53,0,339,410,26,97,0.009,34.9
