,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
110,Parolsenella catena,2003188,2CBEGH3,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,GCA_003966955.1,65.6,1.8,LC270126,64.4,30.0,37.0,,,45.0,15.0,UP000273154
111,Wenzhouxiangella marina,1579979,Ma-11,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Wenzhouxiangella,GCA_001187785.1,65.3,3.7,KM504518,53.9,20.0,37.0,,,45.0,25.0,UP000581413
112,Streptomyces alfalfae,1642299,XY25,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_001975025.1,72.1,8.6,KR080524,58.8,16.0,37.0,,,45.0,29.0,UP000682961
113,Dermabacter vaginalis,1630135,AD1-86,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,GCA_001678905.1,62.6,2.4,KP903369,56.7,25.0,37.0,,,45.0,20.0,UP000323865
114,Corynebacterium humireducens,1223514,MFC-5,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,GCA_000819445.1,68.6,2.7,GQ421281,57.5,25.0,37.0,,,45.0,20.0,UP000557899
115,Arcobacter pacificus,1080223,SW028,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,GCA_004214795.1,28.0,2.7,JN118552,48.4,0.0,37.0,,,45.0,45.0,UP000653587
116,Corynebacterium nuruki,1032851,S6-4,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,GCA_007970465.1,69.3,3.2,HM165487,57.3,10.0,37.0,,,45.0,35.0,UP000261739
117,Bacillus oceanisediminis,665099,MK-7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000294775.2,40.8,5.8,GQ292772,55.0,4.0,37.0,,,45.0,41.0,UP001056493
118,Anaerostipes hadrus,649756,Anaerostipes hadrus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,GCA_001998765.1,37.3,3.2,FR749932,53.5,30.0,37.0,,,45.0,15.0,UP000822508
119,Actinopolyspora erythraea,414996, YIM 90600,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,GCA_002263515.1,68.8,5.2,GQ480939,60.1,25.0,37.0,,,45.0,20.0,UP000029737
120,Chromohalobacter salexigens,158080,Chromohalobacter salexigens,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,GCA_000055785.1,63.9,3.7,AJ295147,57.5,15.0,37.0,,,45.0,30.0,UP000761949
121,Desulfovibrio alaskensis,58180,Al1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,GCA_000012665.1,57.8,3.7,Y11984,56.5,10.0,37.0,,,45.0,35.0,UP000728651
122,Eubacterium limosum,1736,ATCC 8486,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,GCA_000807675.2,47.2,4.4,M59120,52.1,30.0,37.0,,,45.0,15.0,UP001056773
123,Clostridium beijerinckii,1520,ATCC 25752,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000833105.2,30.0,6.5,X68179,52.5,25.0,37.0,,,45.0,20.0,UP000822612
124,Bacillus cereus,1396,ATCC 14579,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_006094295.1,35.3,5.4,D16266,53.4,10.0,37.0,,,45.0,35.0,UP001146850
125,Klebsiella michiganensis,1134687,W14,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,GCA_000276705.2,55.5,6.6,JQ070300,54.3,10.0,35.0,,,45.0,35.0,UP001074185
126,Lentibacillus amyloliquefaciens,1472767,LAM0015,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,GCA_001307805.2,42.1,3.9,KJ002449,56.7,15.0,35.0,,,45.0,30.0,UP000050331
127,Salinivirga cyanobacteriivorans,1307839,L21-Spi-D4,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Salinivirgaceae,Salinivirga,GCA_001443605.1,39.0,4.8,NR_146659,51.0,20.0,35.0,,,45.0,25.0,UP000064893
128,Salinispira pacifica,1307761,L21-RPul-D2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Salinispira,GCA_000507245.1,51.9,3.8,KC665949,53.8,20.0,35.0,,,45.0,25.0,UP000018680
129,Clostridium bornimense,1216932,M2/40,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000577895.1,29.5,3.6,JQ388596,52.8,20.0,35.0,,,45.0,25.0,UP000019426
130,Lysinibacillus varians,1145276,GY32,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,GCA_000600105.1,37.2,4.7,JN860068,52.8,15.0,35.0,,,45.0,30.0,UP000308539
131,Aquitalea magnusonii,332411,TRO-001DR8,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquitalea,GCA_002217795.2,59.3,4.9,DQ018117,54.5,4.0,35.0,,,45.0,41.0,UP000545606
132,Bacillus toyonensis,155322,BCT7112,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000496285.1,,5.0,AJ310100,53.5,10.0,35.0,,,45.0,35.0,UP000806037
133,Zobellia galactanivorans,63186,Dsij,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zobellia,GCA_000973105.1,42.8,5.5,AF208293,53.3,13.0,35.0,,,45.0,32.0,UP000772252
134,Streptomyces aquilus,2548456,GGCR-6,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_003955715.1,70.8,10.4,MH718844,58.7,10.0,30.0,,,45.0,35.0,UP000280197
135,Massilia armeniaca,2072590,ZMN-3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,GCA_003028855.1,66.3,6.3,KY432691,54.1,10.0,30.0,,,45.0,35.0,UP000240505
136,Bacillus tropicus,2026188,N24,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_006457285.1,35.6,6.2,KJ812435,53.4,15.0,30.0,,,45.0,30.0,UP001056204
137,Bacillus paranthracis,2026186,Mn5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_005848985.1,35.5,5.3,KJ812420,53.5,15.0,30.0,,,45.0,30.0,UP001078905
138,Microbulbifer aggregans,1769779,CCB-MM1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,GCA_001750105.1,58.9,3.9,KU736842,54.9,15.0,30.0,,,45.0,30.0,UP000095672
139,Halomonas huangheensis,1178482,BJGMM-B45 ,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_001431725.1,58.5,4.8,JQ716246,55.6,10.0,30.0,,,45.0,35.0,UP000063795
140,Salimicrobium jeotgali,1230341,MJ3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salimicrobium,GCA_001685435.3,46.3,2.8,KF732837,56.6,15.0,30.0,,,45.0,30.0,UP000092654
141,Tumebacillus algifaecis,1214604,THMBR28,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,GCA_002243515.1,53.0,4.5,JX110710,57.0,20.0,30.0,,,45.0,25.0,UP000214688
142,Bacillus mesonae,1193713,FJAT-13985,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_003999735.1,40.4,5.8,JX262263,55.1,20.0,30.0,,,45.0,25.0,UP000282892
143,Paenibacillus beijingensis,1126833,BJ-18,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_000961095.1,52.5,5.7,NR_132612,56.3,10.0,30.0,,,45.0,35.0,UP000032633
144,Brachybacterium saurashtrense,556288,JG 06,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,GCA_003355475.1,72.8,3.7,EU937750,56.7,10.0,30.0,,,45.0,35.0,UP000282185
145,Pseudoxanthomonas suwonensis,314722,4M1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,GCA_000185965.1,70.2,3.4,AY927994,55.5,10.0,30.0,,,45.0,35.0,UP000033067
146,Clostridium aceticum,84022,ATCC 35044,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_001042715.1,35.3,4.2,Y18183,53.9,25.0,30.0,,,45.0,20.0,UP000032372
147,Brevibacillus formosus,54913,F12,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,GCA_002215075.1,47.2,6.4,AB112712,55.7,10.0,30.0,,,45.0,35.0,UP000319498
148,Lelliottia jeotgali,1907578,PFL01 ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,GCA_002271215.1,54.2,4.6,KX709881,54.8,10.0,30.0,,,45.0,35.0,UP000215339
149,Bacillus megaterium,1404,ATCC 14581,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000832985.1,37.9,5.7,D16273,53.6,3.0,30.0,,,45.0,42.0,UP001083993
150,Lactobacillus pontis,35787,LTH 2587,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,GCA_009428965.1,53.3,1.7,AJ422032,53.2,15.0,30.0,,,45.0,30.0,UP000779783
151,Corynebacterium crudilactis,1652495,JZ16,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,GCA_001643015.1,51.8,3.2,KR534194,56.3,10.0,28.0,,,45.0,35.0,UP000076929
152,Tessaracoccus flavus,1610493,RP1,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,GCA_001997295.1,67.9,3.2,KP265298,56.6,15.0,28.0,,,45.0,30.0,UP000199635
153,Dietzia lutea,546160,YIM 80766,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,GCA_003096075.1,70.9,3.9,EU821598,57.4,10.0,28.0,,,45.0,35.0,UP000244928
154,Alcanivorax dieselolei,285091,B-5 ,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,GCA_000300005.1,61.6,4.9,AY683537,55.8,15.0,28.0,,,45.0,30.0,UP000634361
155,Oryzomicrobium terrae,1735038,TPP412,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Oryzomicrobium,GCA_008274805.1,66.1,3.5,KR296798,56.1,24.0,25.0,,,45.0,21.0,UP000323671
156,Bacillus butanolivorans,421767,K9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_003410415.1,38.2,5.6,EF206294,54.3,5.0,25.0,,,45.0,40.0,UP000516378
157,Proteiniphilum saccharofermentans,1642647,M3/6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Proteiniphilum,GCA_900095135.1,43.6,4.4,KP233809,53.6,15.0,37.5,35.0,40.0,45.0,30.0,UP000187464
158,Azoarcus olearius,418699,DQS-4,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,GCA_001682385.1,67.8,4.5,EF158388,55.6,10.0,37.5,35.0,40.0,45.0,35.0,UP000092686
159,Vibrio diabolicus,50719,HE800,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCA_002953395.1,44.8,5.4,X99762,54.4,20.0,37.5,35.0,40.0,45.0,25.0,UP001078240
160,Dermabacter jinjuensis,1667168,32,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,GCA_002443115.1,62.9,2.4,KT036432,56.9,20.0,35.0,30.0,40.0,45.0,25.0,UP000815698
161,Staphylococcus capitis,29388,LK499,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_001028645.1,32.9,2.5,L37599,51.5,18.0,35.0,30.0,40.0,45.0,27.0,UP000812420
162,Staphylococcus auricularis,29379,WK 811M,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_900478415.1,37.4,2.2,D83358,52.1,20.0,35.0,30.0,40.0,45.0,25.0,UP000772043
163,Clostridium sporogenes,1509,ATCC 3584,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_001020205.1,28.0,4.1,M59115,49.1,25.0,35.0,30.0,40.0,45.0,20.0,UP000962161
164,Staphylococcus warneri,1292,AW25,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_900636385.1,32.8,2.4,L37603,51.2,15.0,35.0,30.0,40.0,45.0,30.0,UP001066684
165,Staphylococcus haemolyticus,1283,ATCC 29970,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000009865.1,32.8,2.7,D83367,51.4,18.0,35.0,30.0,40.0,45.0,27.0,UP001071131
166,Staphylococcus carnosus,1281,361,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000009405.1,34.6,2.6,AB009934,52.2,15.0,35.0,30.0,40.0,45.0,30.0,UP001057254
167,Staphylococcus simulans,1286,MK148,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_001559115.2,36.0,2.6,D83373,52.2,15.0,32.5,25.0,40.0,45.0,30.0,UP001064643
168,Bacteroides uniformis,820,ATCC 8492,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,GCA_006742345.1,46.2,5.0,L16486,51.0,25.0,36.0,35.0,37.0,45.0,20.0,UP001081490
169,Neisseria elongata,495,M2,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,GCA_000818035.1,54.3,2.3,L06171,53.6,20.0,35.0,33.0,37.0,45.0,25.0,UP000254927
170,Halotalea alkalilenta,376489, AW-7,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halotalea,GCA_001648175.1,64.3,4.4,DQ421388,56.3,5.0,34.5,32.0,37.0,45.0,40.0,UP000077875
171,Roseitalea porphyridii,1852022,MA7-20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Roseitalea,GCA_004331955.1,66.6,3.5,KX268598,56.1,15.0,33.5,30.0,37.0,45.0,30.0,UP000293719
172,Bacillus glycinifermentans,1664069,GO-13,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_900093775.1,46.1,4.6,HQ224517,54.9,15.0,33.5,30.0,37.0,45.0,30.0,UP000036156
173,Idiomarina piscisalsi,1096243,TPS4-2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,GCA_002211765.1,47.4,2.6,AB619724,54.3,25.0,33.5,30.0,37.0,45.0,20.0,UP000449394
174,Pontibacter korlensis,400092,X14-1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,GCA_000973725.1,47.3,5.5,DQ888330,57.5,7.0,33.5,30.0,37.0,45.0,38.0,UP000033109
175,Epibacterium mobile,379347,MBIC01146,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,GCA_000376545.2,58.7,4.8,AB255401,54.9,5.0,33.5,30.0,37.0,45.0,40.0,UP000706035
176,Rhodococcus pyridinivorans,103816,PDB9,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,GCA_000511305.1,67.8,5.6,AF191343,58.4,10.0,33.5,30.0,37.0,45.0,35.0,UP001066266
177,Halomonas elongata,2746,1H9 ,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_000196875.2,63.6,4.1,M93355,55.0,4.0,33.5,30.0,37.0,45.0,41.0,UP000251811
178,Staphylococcus epidermidis,1282,Fussel,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_006094375.1,32.2,2.5,D83363,51.5,15.0,33.5,30.0,37.0,45.0,30.0,UP001065223
179,Acidaminococcus fermentans,905,VR4,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,GCA_000025305.1,55.8,2.3,X65935,53.7,25.0,33.5,30.0,37.0,45.0,20.0,UP000183444
180,Prauserella marina,530584,CCTCC AA 208056,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,GCA_002240355.1,67.6,7.0,FJ444996,58.6,15.0,32.5,28.0,37.0,45.0,30.0,UP000214637
181,Micromonospora terminaliae,1914461,TMS7,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,GCA_009671205.1,73.3,6.7,KX394339,60.3,15.0,32.0,27.0,37.0,45.0,30.0,UP000477779
182,Thauera humireducens,1134435,SgZ-1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,GCA_001051995.2,66.4,4.2,JQ038037,56.4,10.0,31.0,25.0,37.0,45.0,35.0,UP000036902
183,Paenibacillus chitinolyticus,79263,EAG-3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_004117095.1,52.4,6.5,AB021183,55.7,18.0,31.0,25.0,37.0,45.0,27.0,UP000288943
184,Amycolatopsis albispora,1804986,WP1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,GCA_003312875.1,70.7,9.1,KT751086,58.6,4.0,32.5,30.0,35.0,45.0,41.0,UP000250434
185,Acinetobacter larvae,1789224, BRTC-1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,GCA_001704115.1,41.6,3.7,KU560468,52.9,10.0,32.5,30.0,35.0,45.0,35.0,UP000093391
186,Altererythrobacter atlanticus,1267766,26DY36 ,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,GCA_001008165.2,61.9,3.5,KC018454,54.8,10.0,32.5,30.0,35.0,45.0,35.0,UP000556014
187,Staphylococcus hyicus,1284,D. Sompolinsky no. 1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000816085.1,35.6,2.5,D83368,51.6,22.0,32.5,30.0,35.0,45.0,23.0,UP000626041
188,Ktedonosporobacter rubrisoli,2509675,SCAWS-G2,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,,,GCA_004208415.1,51.8,11.3,KY427895,58.4,25.0,31.5,28.0,35.0,45.0,20.0,UP000290365
189,Halomonas aestuarii,1897729,Hb3,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_001886615.1,67.9,3.5,KX090359,56.1,5.0,30.0,25.0,35.0,45.0,40.0,UP000181985
190,Agarivorans gilvus,680279,WH0801,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,GCA_001420915.1,46.0,4.4,GQ200591,53.1,10.0,30.0,28.0,32.0,45.0,35.0,UP000651977
191,Massilia plicata,321984,76,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,GCA_004421005.1,65.0,5.9,AY966000,53.4,10.0,29.0,28.0,30.0,45.0,35.0,UP000619512
192,Massilia albidiflava,321983,45,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,GCA_004322755.1,65.8,7.4,AY965999,54.3,10.0,29.0,28.0,30.0,45.0,35.0,UP000628442
193,Herbaspirillum robiniae,2014887,HZ10,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,GCA_002025725.1,65.1,5.4,KP276241,53.2,4.0,27.5,25.0,30.0,45.0,41.0,UP000536746
194,Clostridium autoethanogenum,84023,JA1-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000484505.1,,4.4,NR_119283,52.7,20.0,37.0,,,44.0,24.0,UP000196770
195,Clostridium formicaceticum,1497,ATCC 27076,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_001854185.1,35.5,4.6,X77836,53.8,28.0,37.0,,,44.0,16.0,UP000192478
196,Ethanoligenens harbinense,253239,YUAN-3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,GCA_000178115.2,55.6,3.0,AY295777,56.6,20.0,35.0,,,44.0,24.0,UP000298609
197,Acinetobacter lactucae,1785128,NRRL B-41902,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,GCA_002076935.1,,4.0,KU921101,52.8,15.0,30.0,,,44.0,29.0,UP000808699
198,Sandaracinus amylolyticus,927083,NOSO-4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,GCA_000737325.2,72.0,10.3,HQ540311,57.7,20.0,30.0,,,44.0,24.0,UP000034883
199,Comamonas kerstersii,225992,LMG 3475,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,GCA_002056725.1,59.6,3.5,AJ430347,54.0,30.0,37.5,35.0,40.0,44.0,14.0,UP000671970
200,Paenibacillus kribbensis,172713,AM49,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_002240415.1,46.8,5.8,AF391123,55.1,10.0,33.5,30.0,37.0,44.0,34.0,UP000214666
201,Alteromonas macleodii,28108,107,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GCA_000172635.2,44.7,4.7,X82145,52.5,4.0,33.5,30.0,37.0,44.0,40.0,UP001069164
202,Antarctobacter heliothermus,74033,EL-219,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,GCA_002237555.1,61.5,5.3,Y11552,55.4,3.0,21.0,16.0,26.0,43.5,40.5,UP000198440
203,Aquicella lusitana,254246,SGT-39,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,GCA_902459475.1,44.1,2.6,AY359282,55.2,30.0,37.0,,,43.0,13.0,UP000322262
204,Halomonas campaniensis,213554,5AG,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_000696485.1,52.6,4.1,AJ515365,56.3,10.0,37.0,,,43.0,33.0,UP000263577
205,Eubacterium callanderi,53442,FD,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,GCA_000152245.2,47.5,4.3,X96961,53.1,25.0,37.0,,,43.0,18.0,UP000184012
206,Methyloceanibacter caenitepidi,1384459,Gela4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Methyloceanibacter,GCA_000828475.1,62.8,3.4,AB794104,56.0,19.0,35.0,,,43.0,24.0,UP000031643
207,Halobacillus litoralis,45668,SL-4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,GCA_004101865.1,42.2,4.3,X94558,55.8,10.0,35.0,,,43.0,33.0,UP000450574
208,Pseudohongiella spirulinae,1249552, Ma-20,Bacteria,Proteobacteria,Gammaproteobacteria,,,Pseudohongiella,GCA_001444425.1,54.0,3.3,JX981925,55.0,10.0,30.0,,,43.0,33.0,UP000065641
209,Terribacillus goriensis,386490,CL-GR16,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus,GCA_000725365.1,42.8,3.6,DQ519571,54.6,15.0,30.0,,,43.0,28.0,UP000027980
210,Thioclava nitratireducens,1915078,25B10_4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,GCA_001940525.2,63.8,4.2,KX618935,54.8,10.0,28.0,,,43.0,33.0,UP000185622
211,Salinicoccus halodurans,407035,W24,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,GCA_001005905.1,44.5,2.8,DQ989633,55.4,8.0,28.0,,,43.0,35.0,UP000183090
212,Christensenella minuta,626937,YIT 12065,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,GCA_003628755.1,51.4,3.0,AB490809,54.8,25.0,38.5,37.0,40.0,43.0,18.0,UP000267933
213,Terriglobus albidus,1592106,Ac_26_B10,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,GCA_008000815.1,57.9,6.4,KP334258,54.9,10.0,33.0,29.0,37.0,43.0,33.0,UP000321820
214,Pontibacter actiniarum,323450,KMM 6156,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,GCA_003585765.1,53.1,5.0,AY989908,58.0,6.0,26.5,25.0,28.0,43.0,37.0,UP000266292
215,Bacteroides xylanisolvens,371601,XB1A ,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,GCA_006546965.1,41.8,6.5,AM230650,49.6,25.0,38.0,,,42.0,17.0,UP001060305
216,Butyricimonas faecalis,2093856,H184,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,GCA_003991565.1,43.5,5.0,MG963286,57.5,25.0,37.0,,,42.0,17.0,UP000270673
217,Mycobacterium grossiae,1552759,PB739,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,GCA_008329645.1,70.5,5.7,KM186137,58.6,24.0,37.0,,,42.0,18.0,UP000323314
218,Francisella hispaniensis,622488, FhSp1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,GCA_001885235.1,,1.9,FN252413,51.8,20.0,37.0,,,42.0,22.0,UP000008303
219,Youhaiella tibetensis,1447062,fig4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Youhaiella,GCA_008000755.1,64.8,4.4,KF740588,54.7,20.0,37.0,,,42.0,22.0,UP000644030
220,Frischella perrara,1267021,PEB0191 ,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,GCA_000807275.1,34.1,2.7,JX878306,51.8,24.0,37.0,,,42.0,18.0,UP000246602
221,Mageeibacillus indolicus,884684,BAA-2120 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Mageeibacillus,GCA_000025225.2,44.2,1.8,GQ900632,52.8,35.0,37.0,,,42.0,7.0,UP000236394
