,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
210835,,Ribosomal protein,,,,,Reference proteome,
210852,,Repressor,,Transcription regulation,,,Reference proteome,
210879,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
211089,,DNA-binding,,DNA condensation,,,Reference proteome,
211257,,,,,,,Reference proteome,
211349,,Ribosomal protein,,,,,Reference proteome,
211368,,Ribosomal protein,,,,,Reference proteome,
211454,Membrane,,,,,,Reference proteome,Transmembrane helix
211732,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
211972,,,Nucleotide-binding,,,,Reference proteome,Coiled coil
211983,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
212030,,DNA-binding,,DNA condensation,,,Reference proteome,
212047,Cytoplasm,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,Coiled coil
212062,,Isomerase,Metal-binding,,,,Reference proteome,
212148,,DNA-binding,,Transcription regulation,,,Reference proteome,
212541,Membrane,,Metal-binding,,,,Reference proteome,Transmembrane helix
212735,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
212777,Membrane,Translocase,Zinc,Transport,,,Reference proteome,
212810,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
212814,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,Coiled coil
212815,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
212856,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,Coiled coil
212888,Cytoplasm,Transferase,NADP,tRNA processing,,,Reference proteome,
212902,Cytoplasm,Protease,Nucleotide-binding,,,,Reference proteome,
212905,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
212908,Cytoplasm,,Nucleotide-binding,Septation,,,Reference proteome,
212922,,Topoisomerase,Zinc,,,,Reference proteome,Zinc-finger
212967,,Oxidoreductase,,,,,Reference proteome,
213028,,Repressor,Zinc,Transcription regulation,,,Reference proteome,Zinc-finger
213067,Cytoplasm,Initiation factor,,Protein biosynthesis,,,Reference proteome,
213127,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
213161,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,
213181,,rRNA-binding,,,,,Reference proteome,
213201,,Ribosomal protein,,,,,Reference proteome,
213206,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
213221,,DNA-binding,,DNA replication,,,Reference proteome,
213243,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
213246,,rRNA-binding,,,,,Reference proteome,
213253,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
213254,,Ribosomal protein,,,,,Reference proteome,
213257,Cytoplasm,RNA-binding,,,,,Reference proteome,
213272,,tRNA-binding,,,,,Reference proteome,
213274,,rRNA-binding,,,,,Reference proteome,
213277,,rRNA-binding,,,,,Reference proteome,
213280,,tRNA-binding,,,,,Reference proteome,
213296,,Ribosomal protein,,,,,Reference proteome,
213298,,rRNA-binding,,,,,Reference proteome,
213299,,rRNA-binding,,,,,Reference proteome,
213302,,Ribosomal protein,,,,,Reference proteome,
213316,,rRNA-binding,,,,,Reference proteome,
213319,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
213321,,rRNA-binding,,,,,Reference proteome,
213323,,rRNA-binding,Zinc,,,,Reference proteome,
213345,Membrane,Oxidoreductase,Flavoprotein,Transport,,,Reference proteome,Coiled coil
213374,,,Nucleotide-binding,,,,Reference proteome,
213385,,Ribosomal protein,,,,,Reference proteome,
213390,,Sigma factor,,Transcription regulation,,,Reference proteome,
213394,,Ribosomal protein,,,,,Reference proteome,
213403,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
213405,,Sigma factor,,Transcription regulation,,,Reference proteome,
213412,,Ribosomal protein,,,,,Reference proteome,
213417,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,Coiled coil
213425,,rRNA-binding,,,,,Reference proteome,
213426,,Ribosomal protein,,,,,Reference proteome,
213434,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
213438,,Ribosomal protein,,,,,Reference proteome,
213455,,rRNA-binding,,,,,Reference proteome,
213458,Cytoplasm,Elongation factor,,Protein biosynthesis,,,Reference proteome,
213471,,rRNA-binding,,,,,Reference proteome,
213474,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
213513,,Sigma factor,,Transcription regulation,,,Reference proteome,
213522,Membrane,RNA-binding,,,,,Reference proteome,Transmembrane helix
213529,Cytoplasm,,,Protein biosynthesis,,,Reference proteome,
213613,,Isomerase,Metal-binding,,,,Reference proteome,
213641,Cytoplasm,Repressor,Metal-binding,Transcription regulation,,,Reference proteome,
213662,,rRNA-binding,,,,,Reference proteome,
213756,,,,,,,Reference proteome,
213763,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
213767,Cytoplasm,,,,,,Reference proteome,
213953,,Ribosomal protein,,,,,Reference proteome,
214077,,DNA-binding,,Transcription regulation,,,Reference proteome,
214733,,DNA-binding,,Transcription regulation,,,Reference proteome,
214791,,,,,,,Reference proteome,
214843,Cytoplasm,,,,,,Reference proteome,
214902,,,,Septation,,,Reference proteome,
215099,,Transferase,,,,,Reference proteome,
215112,,Ribosomal protein,,,,,Reference proteome,
215315,,Ribosomal protein,,,,,Reference proteome,
215326,Cytoplasm,,,,,,Reference proteome,
215371,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
215860,,DNA-binding,,,,,Reference proteome,
215915,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,
215930,,,,,,,Reference proteome,
216107,Membrane,,,,,,Reference proteome,Transmembrane helix
216221,,Transferase,,,,,Reference proteome,
216299,Cytoplasm,,,Cell division,,,Reference proteome,Coiled coil
216615,,,,,,,Reference proteome,
216689,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,
216877,,DNA-binding,,DNA condensation,,,Reference proteome,
216904,,Hydrolase,,,,,Reference proteome,
216963,,Sigma factor,,Transcription regulation,,,Reference proteome,
216969,,,Zinc,,,,Reference proteome,
217254,,,,,,,Reference proteome,
217470,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
217540,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,Reference proteome,
217571,,Ligase,Nucleotide-binding,Tricarboxylic acid cycle,,,Reference proteome,
217583,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
217592,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
217595,,Transferase,Nucleotide-binding,,,,Reference proteome,
217669,Membrane,Translocase,Ubiquinone,,Quinone,,Reference proteome,Repeat
217693,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
217783,,tRNA-binding,,,,,Reference proteome,
217798,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
217823,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
217828,,,Metal-binding,,,,Reference proteome,
217867,,Ribosomal protein,,,,,Reference proteome,
217880,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,Reference proteome,
218018,,Protease,Zinc,,,,Reference proteome,
218076,,rRNA-binding,,,,,Reference proteome,
218081,,rRNA-binding,,,,,Reference proteome,
218084,,,,Transcription termination,,,Reference proteome,
218095,,rRNA-binding,,,,,Reference proteome,
218149,,Ribosomal protein,,,,,Reference proteome,
218159,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
218194,,Ribosomal protein,,,,,Reference proteome,
218197,,Ribosomal protein,,,,,Reference proteome,
218212,,DNA-binding,,Translation regulation,,,Reference proteome,
218285,,rRNA-binding,,,,,Reference proteome,
218332,,Ribosomal protein,,,,,Reference proteome,
218358,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
218380,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
218450,,Ribosomal protein,,,,,Reference proteome,
218688,,Ribosomal protein,,,,,Reference proteome,
219010,,Ribosomal protein,,,,,Reference proteome,
219023,,,Metal-binding,Transport,,,Reference proteome,Repeat
220612,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
220767,,Ribosomal protein,,,,,,
220771,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
220773,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
220779,,tRNA-binding,,,,,,
220780,,rRNA-binding,,,,,,
220786,,rRNA-binding,,,,,,
220793,,rRNA-binding,,,,,,
220802,,tRNA-binding,,,,,,
220804,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
220807,,rRNA-binding,,,,,,
220852,,Ribosomal protein,,,,,,
220992,,Ribosomal protein,,,,,,
221049,,Ribosomal protein,,,,,,
221151,,Ribosomal protein,,,,,,
221152,Cytoplasm,Chaperone,,,,,,
221386,Cytoplasm,,,,,,,
221837,Cytoplasm,,,,,,,
222140,,,,,,True,,
222169,,,Nucleotide-binding,,,,,Coiled coil
222676,,Chaperone,Nucleotide-binding,,,,,Repeat
223006,,Ribosomal protein,,,,,,
223397,Cytoplasm,,Nucleotide-binding,Septation,,,Reference proteome,
223398,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
223402,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
223419,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
223445,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
223507,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
223545,Cytoplasm,DNA-binding,Metal-binding,Transcription regulation,Disulfide bond,,,
223644,,Ribosomal protein,,,,,Reference proteome,
223648,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
223650,,Ribosomal protein,,,,,Reference proteome,
223659,,Ribosomal protein,,,,,Reference proteome,
223661,,rRNA-binding,,,,,Reference proteome,
223662,,tRNA-binding,,,,,Reference proteome,
223663,,rRNA-binding,,,,,Reference proteome,
223676,,rRNA-binding,,,,,Reference proteome,
223678,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
223682,,tRNA-binding,,,,,Reference proteome,
223712,,Ribosomal protein,,,,,Reference proteome,
223730,,Ribosomal protein,,,,,Reference proteome,
223769,Cytoplasm,Elongation factor,,Protein biosynthesis,,,Reference proteome,
223802,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,Reference proteome,
223804,Cytoplasm,DNA-binding,Metal-binding,Transcription regulation,Disulfide bond,,Reference proteome,
223807,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,Reference proteome,
223834,,Ribosomal protein,,,,,Reference proteome,
223937,,Ribosomal protein,,,,,Reference proteome,
223948,,Lyase,Metal-binding,,,,Reference proteome,
223969,Cytoplasm,Chaperone,,,,,Reference proteome,
224035,,,,,,True,,
224501,,,,,,True,,
224830,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
225014,,Ribosomal protein,,,,,Reference proteome,
225094,,,,,,,Reference proteome,
225097,,,Nucleotide-binding,,,,Reference proteome,Coiled coil
225194,,,,,,,Reference proteome,
225619,,,,,,,Reference proteome,
225743,,,,,,,Reference proteome,
225906,,Isomerase,Metal-binding,,,,Reference proteome,
226334,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
226549,Cytoplasm,Chaperone,,,,,,
226591,,Ribosomal protein,,,,,,
226699,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,,
226710,,Ribosomal protein,,,,,,
226752,,Lyase,Metal-binding,,,,,
226762,,Ribosomal protein,,,,,,
226783,,rRNA-binding,,,,,,
226784,,Ribosomal protein,,,,,,
226785,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
226786,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
226788,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
226791,,tRNA-binding,,,,,,
226792,,tRNA-binding,,,,,,
226796,,rRNA-binding,,,,,,
226799,,rRNA-binding,,,,,,
226805,,rRNA-binding,,,,,,
226814,,Ribosomal protein,,,,,,
226840,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
226908,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,,
227273,Cytoplasm,,,,,,,
227340,,Chaperone,Nucleotide-binding,,,,,Repeat
227698,,,,,,True,,
227897,,,,,,True,,
227900,,,Nucleotide-binding,,,,,Coiled coil
229080,,Ribosomal protein,,,,,,
229561,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
229601,Membrane,Translocase,Ubiquinone,,Quinone,,Reference proteome,Repeat
229612,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
229633,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,Reference proteome,
229634,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,
229635,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,
229672,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
229766,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
229770,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
229865,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,Reference proteome,
229887,Cytoplasm,Chaperone,,,,,Reference proteome,
229889,,Ribosomal protein,,,,,Reference proteome,
229899,,Ribosomal protein,,,,,Reference proteome,
229920,,Ribosomal protein,,,,,Reference proteome,
230025,,,,,,,Reference proteome,
230046,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
230051,,,Metal-binding,Transport,,,Reference proteome,Repeat
230077,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
230083,,Protease,Zinc,,,,Reference proteome,
230104,,,Metal-binding,Iron storage,,,Reference proteome,
230146,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
230184,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
230201,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,Reference proteome,
230229,,Oxidoreductase,Metal-binding,Isoprene biosynthesis,,,Reference proteome,
230236,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,Reference proteome,
230244,,rRNA-binding,,,,,Reference proteome,
230278,,DNA-binding,,Translation regulation,,,Reference proteome,
230331,,Ribosomal protein,,,,,Reference proteome,
230335,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
230337,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
230341,,tRNA-binding,,,,,Reference proteome,
230345,,Ribosomal protein,,,,,Reference proteome,
230346,,rRNA-binding,,,,,Reference proteome,
230353,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
230365,,rRNA-binding,,,,,Reference proteome,
230373,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
230385,,rRNA-binding,,,,,Reference proteome,
230409,,Ribosomal protein,,,,,Reference proteome,
230412,,rRNA-binding,,,Methylation,,Reference proteome,
230421,,rRNA-binding,,,,,Reference proteome,
230470,,tRNA-binding,,,,,Reference proteome,
230478,,rRNA-binding,,,,,Reference proteome,
230479,,tRNA-binding,,,,,Reference proteome,
230480,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
230493,,Transferase,,,,,Reference proteome,
230505,,,,,Phosphoprotein,,Reference proteome,
230863,Cytoplasm,,,,,,Reference proteome,
231129,,DNA-binding,,,,,Reference proteome,
231229,,Ribosomal protein,,,,,Reference proteome,
231339,,,,,Phosphoprotein,,Reference proteome,
231554,,,,Transport,,,Reference proteome,
231694,,Ribosomal protein,,,,,Reference proteome,
232151,,Ribosomal protein,,,,,Reference proteome,
232497,,Ribosomal protein,,,,,Reference proteome,
232792,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
232814,,rRNA-binding,,,,,Reference proteome,
232867,,tRNA-binding,,,,,Reference proteome,
232936,,Ribosomal protein,,,,,Reference proteome,
232960,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
232973,,rRNA-binding,,,,,Reference proteome,
232977,,tRNA-binding,,,,,Reference proteome,
233043,,rRNA-binding,,,,,Reference proteome,
233057,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
233110,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
233203,,rRNA-binding,,,,,Reference proteome,
233264,,Ribosomal protein,,,,,Reference proteome,
233270,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
233271,,Ribosomal protein,,,,,Reference proteome,
233541,,Isomerase,Metal-binding,,,,Reference proteome,
234355,,Transferase,,,,,Reference proteome,
234641,,Ribosomal protein,,,,,Reference proteome,
234883,,Ribosomal protein,,,,,Reference proteome,
235051,,,,,,,Reference proteome,
235204,,,Nucleotide-binding,,,,Reference proteome,
236022,Membrane,Translocase,Ubiquinone,,Quinone,,,Repeat
236105,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,,
236134,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
236171,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
236181,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
236314,Cytoplasm,Chaperone,,,,,,
236337,,Ribosomal protein,,,,,,
236429,,rRNA-binding,,,,,,
236517,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,,
236518,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
236532,,rRNA-binding,,,,,,
236541,,Ribosomal protein,,,,,,
236552,,Ribosomal protein,,,,,,
236557,,Ribosomal protein,,,,,,
236576,Cytoplasm,,,Protein biosynthesis,Methylation,,,
236587,,Ribosomal protein,,,,,,
236596,,Ribosomal protein,,,,,,
236612,,tRNA-binding,,,,,,
236637,,rRNA-binding,,,,,,
236655,,Ribosomal protein,,,,,,
236670,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
236685,,DNA-binding,,Translation regulation,,,,
236687,,Ribosomal protein,,,,,,
236706,,tRNA-binding,,,,,,
236740,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,,
236754,,Ribosomal protein,,,,,,
237218,,Ribosomal protein,,,,,,
237654,,,,Transport,,,,
238236,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,Reference proteome,Repeat
238237,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
238294,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
238319,,Transferase,Nucleotide-binding,,,,Reference proteome,
238355,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,Reference proteome,
238373,Cytoplasm,Transferase,Zinc,Lipid metabolism,,,Reference proteome,Zinc-finger
238378,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
238451,,Oxidoreductase,NAD,,,,Reference proteome,
238471,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
238492,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
238497,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,Coiled coil
238501,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
238531,,rRNA-binding,,,,,Reference proteome,
238541,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
238620,,Ribosomal protein,,,,,Reference proteome,
238709,Cytoplasm,RNA-binding,,Translation regulation,,,Reference proteome,
238778,Cytoplasm,Chaperone,,,,,Reference proteome,
238812,,Lyase,,Leucine biosynthesis,,,Reference proteome,
238823,,Protease,Zinc,,,,Reference proteome,
238850,,rRNA-binding,,,,,Reference proteome,
238878,,Ribosomal protein,,,,,Reference proteome,
238897,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
238961,,Ribosomal protein,,,,,Reference proteome,Coiled coil
238993,,rRNA-binding,,,,,Reference proteome,
239021,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
239023,,Ligase,Nucleotide-binding,Purine biosynthesis,,,Reference proteome,
239105,,Ribosomal protein,,,,,Reference proteome,
239111,,Ribosomal protein,,,,,Reference proteome,
239115,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
239128,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
239138,,rRNA-binding,,,,,Reference proteome,
239140,,rRNA-binding,,,,,Reference proteome,
239143,,tRNA-binding,,,,,Reference proteome,
239146,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
239147,,rRNA-binding,,,,,Reference proteome,
239148,,rRNA-binding,,,,,Reference proteome,
239152,,rRNA-binding,,,,,Reference proteome,
239153,,,,Transcription termination,,,Reference proteome,
239156,,Ribosomal protein,,,,,Reference proteome,
239158,,tRNA-binding,,,,,Reference proteome,
239159,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
239160,,Ribosomal protein,,,,,Reference proteome,
239161,,rRNA-binding,,,Methylation,,Reference proteome,
239162,,tRNA-binding,,,,,Reference proteome,
239168,,Ribosomal protein,,,,,Reference proteome,
239176,,rRNA-binding,,,,,Reference proteome,
239189,,Ribosomal protein,,,,,Reference proteome,
239208,,rRNA-binding,,,,,Reference proteome,
239699,,,,,Phosphoprotein,,Reference proteome,
239785,,Rotamase,,,,,Reference proteome,
240064,,,Metal-binding,Transport,,,Reference proteome,Repeat
240175,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
240476,,DNA-binding,,,,,Reference proteome,
241054,,Transferase,,,,,Reference proteome,
241632,,Ribosomal protein,,,,,Reference proteome,
241691,,,Nucleotide-binding,,,,Reference proteome,
241953,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
242013,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
242023,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
242034,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
242059,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
242107,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
242137,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
242168,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,Coiled coil
242246,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
242277,,Ribosomal protein,,,,,Reference proteome,
242323,,rRNA-binding,,,,,Reference proteome,
242327,,rRNA-binding,,,,,Reference proteome,
242334,,DNA-binding,,Translation regulation,,,Reference proteome,
242350,,rRNA-binding,,,,,Reference proteome,
242354,,tRNA-binding,,,,,Reference proteome,
242358,Cytoplasm,Chaperone,,,,,Reference proteome,
242360,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
242361,,tRNA-binding,,,,,Reference proteome,
242364,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
242367,,tRNA-binding,,,,,Reference proteome,
242370,,rRNA-binding,,,,,Reference proteome,
242380,,,,,Phosphoprotein,,Reference proteome,
242384,,Ribosomal protein,,,,,Reference proteome,
242411,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
242441,,Ligase,Nucleotide-binding,Purine biosynthesis,,,Reference proteome,
242495,,Ribosomal protein,,,,,Reference proteome,
242512,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
242536,,Ribosomal protein,,,,,Reference proteome,
242539,,tRNA-binding,,,Methylation,,Reference proteome,
242542,,rRNA-binding,,,,,Reference proteome,
242563,,rRNA-binding,,,,,Reference proteome,
242564,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
242586,,RNA-binding,,,,,Reference proteome,Repeat
242587,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
242670,,Ribosomal protein,,,,,Reference proteome,
242682,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
242748,,,,Transcription termination,,,Reference proteome,
242755,,Oxidoreductase,Metal-binding,Glutamate biosynthesis,,,Reference proteome,Glutamine amidotransferase
242770,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
242774,,rRNA-binding,,,Methylation,,Reference proteome,
242775,,rRNA-binding,,,,,Reference proteome,
242777,,rRNA-binding,,,,,Reference proteome,
242806,,Oxidoreductase,Flavoprotein,,,,Reference proteome,
242845,,Ribosomal protein,,,,,Reference proteome,
243263,,,Metal-binding,Transport,,,Reference proteome,Repeat
243719,,,Nucleotide-binding,,,,Reference proteome,
243763,,,,,,,Reference proteome,
245420,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
245454,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,,,Reference proteome,Glutamine amidotransferase
245481,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
245543,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
245579,,rRNA-binding,,,,,Reference proteome,
245581,,tRNA-binding,,,,,Reference proteome,
245615,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
245616,,Ribosomal protein,,,,,Reference proteome,
245617,,tRNA-binding,,,,,Reference proteome,
245634,,Elongation factor,,Transcription regulation,,,Reference proteome,
245635,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
245647,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
245762,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
245772,,tRNA-binding,,,,,Reference proteome,
245820,Cytoplasm,Isomerase,Metal-binding,Xylose metabolism,,,Reference proteome,
245829,,Transferase,,,,,Reference proteome,
245832,,rRNA-binding,,,,,Reference proteome,
245913,,rRNA-binding,,,,,Reference proteome,
245914,,Isomerase,,,,,Reference proteome,
245920,,,,Branched-chain amino acid biosynthesis,,,Reference proteome,
245938,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
246010,Cytoplasm,Chaperone,,,,,Reference proteome,
246229,,Ribosomal protein,,,,,Reference proteome,
246282,,,,,,,Reference proteome,
246608,,,,,,,Reference proteome,
246626,,,,,,,Reference proteome,
247584,,Ribosomal protein,,,,,Reference proteome,
247821,,Isomerase,Metal-binding,,,,Reference proteome,
247841,,,,,,,Reference proteome,
248239,,Transferase,Nucleotide-binding,,,,Reference proteome,Coiled coil
249188,,Ribosomal protein,,,,,Reference proteome,
249419,Membrane,Protease,Zinc,,,,,Transmembrane helix
249439,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
249462,,Nuclease,Metal-binding,DNA repair,,,,
249468,Cytoplasm,Transferase,Zinc,Lipid metabolism,,,,Zinc-finger
249483,,Transferase,Nucleotide-binding,,,,,
249540,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
249543,,Peroxidase,Metal-binding,Hydrogen peroxide,,,,
249547,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
249571,,Oxidoreductase,NAD,,,,,
249586,,Transferase,Nucleotide-binding,,,,,
249600,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,,Repeat
249625,Cytoplasm,Transferase,Metal-binding,,,,,
